source,target,rate,type
H0|Compromised,H38|Compromised,0.008,spatial
H1|Normal,H1|Compromised,0.02020270731751945,internal
H1|Compromised,H1|Down,0.051293294387550536,internal
H1|Down,H1|Mitigated,0.051293294387550536,internal
H1|Mitigated,H1|Recovered,0.051293294387550536,internal
H1|Compromised,H0|Compromised,0.008,spatial
H1|Compromised,H2|Compromised,0.008,spatial
H1|Compromised,H3|Compromised,0.008,spatial
H1|Compromised,H4|Compromised,0.008,spatial
H1|Compromised,H5|Compromised,0.008,spatial
H1|Compromised,H6|Compromised,0.008,spatial
H1|Compromised,H7|Compromised,0.008,spatial
H1|Compromised,H8|Compromised,0.008,spatial
H1|Compromised,H9|Compromised,0.008,spatial
H1|Compromised,H10|Compromised,0.008,spatial
H1|Compromised,H11|Compromised,0.008,spatial
H1|Compromised,H12|Compromised,0.008,spatial
H1|Compromised,H13|Compromised,0.008,spatial
H1|Compromised,H14|Compromised,0.008,spatial
H1|Compromised,H15|Compromised,0.008,spatial
H1|Compromised,H16|Compromised,0.008,spatial
H1|Compromised,H17|Compromised,0.008,spatial
H1|Compromised,H18|Compromised,0.008,spatial
H1|Compromised,H19|Compromised,0.008,spatial
H1|Compromised,H20|Compromised,0.008,spatial
H1|Compromised,H21|Compromised,0.008,spatial
H1|Compromised,H22|Compromised,0.008,spatial
H1|Compromised,H23|Compromised,0.008,spatial
H1|Compromised,H24|Compromised,0.008,spatial
H1|Compromised,H25|Compromised,0.008,spatial
H1|Compromised,H26|Compromised,0.008,spatial
H1|Compromised,H27|Compromised,0.008,spatial
H1|Compromised,H28|Compromised,0.008,spatial
H1|Compromised,H29|Compromised,0.008,spatial
H1|Compromised,H30|Compromised,0.008,spatial
H1|Compromised,H31|Compromised,0.008,spatial
H1|Compromised,H32|Compromised,0.008,spatial
H1|Compromised,H33|Compromised,0.008,spatial
H1|Compromised,H34|Compromised,0.008,spatial
H1|Compromised,H35|Compromised,0.008,spatial
H1|Compromised,H36|Compromised,0.008,spatial
H1|Compromised,H37|Compromised,0.008,spatial
H1|Compromised,H38|Compromised,0.008,spatial
H2|Normal,H2|Compromised,0.02020270731751945,internal
H2|Compromised,H2|Down,0.051293294387550536,internal
H2|Down,H2|Mitigated,0.051293294387550536,internal
H2|Mitigated,H2|Recovered,0.051293294387550536,internal
H2|Compromised,H0|Compromised,0.008,spatial
H2|Compromised,H1|Compromised,0.008,spatial
H2|Compromised,H3|Compromised,0.008,spatial
H2|Compromised,H4|Compromised,0.008,spatial
H2|Compromised,H5|Compromised,0.008,spatial
H2|Compromised,H6|Compromised,0.008,spatial
H2|Compromised,H7|Compromised,0.008,spatial
H2|Compromised,H8|Compromised,0.008,spatial
H2|Compromised,H9|Compromised,0.008,spatial
H2|Compromised,H10|Compromised,0.008,spatial
H2|Compromised,H11|Compromised,0.008,spatial
H2|Compromised,H12|Compromised,0.008,spatial
H2|Compromised,H13|Compromised,0.008,spatial
H2|Compromised,H14|Compromised,0.008,spatial
H2|Compromised,H15|Compromised,0.008,spatial
H2|Compromised,H16|Compromised,0.008,spatial
H2|Compromised,H17|Compromised,0.008,spatial
H2|Compromised,H18|Compromised,0.008,spatial
H2|Compromised,H19|Compromised,0.008,spatial
H2|Compromised,H20|Compromised,0.008,spatial
H2|Compromised,H21|Compromised,0.008,spatial
H2|Compromised,H22|Compromised,0.008,spatial
H2|Compromised,H23|Compromised,0.008,spatial
H2|Compromised,H24|Compromised,0.008,spatial
H2|Compromised,H25|Compromised,0.008,spatial
H2|Compromised,H26|Compromised,0.008,spatial
H2|Compromised,H27|Compromised,0.008,spatial
H2|Compromised,H28|Compromised,0.008,spatial
H2|Compromised,H29|Compromised,0.008,spatial
H2|Compromised,H30|Compromised,0.008,spatial
H2|Compromised,H31|Compromised,0.008,spatial
H2|Compromised,H32|Compromised,0.008,spatial
H2|Compromised,H33|Compromised,0.008,spatial
H2|Compromised,H34|Compromised,0.008,spatial
H2|Compromised,H35|Compromised,0.008,spatial
H2|Compromised,H36|Compromised,0.008,spatial
H2|Compromised,H37|Compromised,0.008,spatial
H2|Compromised,H38|Compromised,0.008,spatial
H3|Normal,H3|Compromised,0.02020270731751945,internal
H3|Compromised,H3|Down,0.051293294387550536,internal
H3|Down,H3|Mitigated,0.051293294387550536,internal
