source,target,rate,type
H0|Compromised,H112|Compromised,0.02,spatial
H0|Compromised,H113|Compromised,0.02,spatial
H0|Compromised,H114|Compromised,0.02,spatial
H0|Compromised,H115|Compromised,0.02,spatial
H0|Compromised,H116|Compromised,0.02,spatial
H0|Compromised,H117|Compromised,0.02,spatial
H0|Compromised,H118|Compromised,0.02,spatial
H0|Compromised,H119|Compromised,0.02,spatial
H0|Compromised,H120|Compromised,0.02,spatial
H0|Compromised,H121|Compromised,0.02,spatial
H0|Compromised,H122|Compromised,0.02,spatial
H0|Compromised,H123|Compromised,0.02,spatial
H0|Compromised,H124|Compromised,0.02,spatial
H0|Compromised,H125|Compromised,0.02,spatial
H0|Compromised,H126|Compromised,0.02,spatial
H0|Compromised,H127|Compromised,0.02,spatial
H0|Compromised,H128|Compromised,0.02,spatial
H0|Compromised,H129|Compromised,0.02,spatial
H0|Compromised,H130|Compromised,0.02,spatial
H0|Compromised,H131|Compromised,0.02,spatial
H0|Compromised,H132|Compromised,0.02,spatial
H0|Compromised,H133|Compromised,0.02,spatial
H0|Compromised,H134|Compromised,0.02,spatial
H0|Compromised,H135|Compromised,0.02,spatial
H0|Compromised,H136|Compromised,0.02,spatial
H0|Compromised,H137|Compromised,0.02,spatial
H0|Compromised,H138|Compromised,0.02,spatial
H0|Compromised,H139|Compromised,0.02,spatial
H0|Compromised,H140|Compromised,0.02,spatial
H0|Compromised,H141|Compromised,0.02,spatial
H0|Compromised,H142|Compromised,0.02,spatial
H0|Compromised,H143|Compromised,0.02,spatial
H0|Compromised,H144|Compromised,0.02,spatial
H0|Compromised,H145|Compromised,0.02,spatial
H0|Compromised,H146|Compromised,0.02,spatial
H0|Compromised,H147|Compromised,0.02,spatial
H0|Compromised,H148|Compromised,0.02,spatial
H0|Compromised,H149|Compromised,0.02,spatial
H0|Compromised,H150|Compromised,0.02,spatial
H0|Compromised,H151|Compromised,0.02,spatial
H0|Compromised,H152|Compromised,0.02,spatial
H1|Normal,H1|Compromised,0.030459207484708546,internal
H1|Compromised,H1|Down,0.10536051565782631,internal
H1|Down,H1|Mitigated,0.08338160893905106,internal
H1|Mitigated,H1|Recovered,0.07257069283483544,internal
H1|Compromised,H0|Compromised,0.02,spatial
H1|Compromised,H2|Compromised,0.02,spatial
H1|Compromised,H3|Compromised,0.02,spatial
H1|Compromised,H4|Compromised,0.02,spatial
H1|Compromised,H5|Compromised,0.02,spatial
H1|Compromised,H6|Compromised,0.02,spatial
H1|Compromised,H7|Compromised,0.02,spatial
H1|Compromised,H8|Compromised,0.02,spatial
H1|Compromised,H9|Compromised,0.02,spatial
H1|Compromised,H10|Compromised,0.02,spatial
H1|Compromised,H11|Compromised,0.02,spatial
H1|Compromised,H12|Compromised,0.02,spatial
H1|Compromised,H13|Compromised,0.02,spatial
H1|Compromised,H14|Compromised,0.02,spatial
H1|Compromised,H15|Compromised,0.02,spatial
H1|Compromised,H16|Compromised,0.02,spatial
H1|Compromised,H17|Compromised,0.02,spatial
H1|Compromised,H18|Compromised,0.02,spatial
H1|Compromised,H19|Compromised,0.02,spatial
H1|Compromised,H20|Compromised,0.02,spatial
H1|Compromised,H21|Compromised,0.02,spatial
H1|Compromised,H22|Compromised,0.02,spatial
H1|Compromised,H23|Compromised,0.02,spatial
H1|Compromised,H24|Compromised,0.02,spatial
H1|Compromised,H25|Compromised,0.02,spatial
H1|Compromised,H26|Compromised,0.02,spatial
H1|Compromised,H27|Compromised,0.02,spatial
H1|Compromised,H28|Compromised,0.02,spatial
H1|Compromised,H29|Compromised,0.02,spatial
H1|Compromised,H30|Compromised,0.02,spatial
H1|Compromised,H31|Compromised,0.02,spatial
H1|Compromised,H32|Compromised,0.02,spatial
H1|Compromised,H33|Compromised,0.02,spatial
H1|Compromised,H34|Compromised,0.02,spatial
H1|Compromised,H35|Compromised,0.02,spatial
H1|Compromised,H36|Compromised,0.02,spatial
H1|Compromised,H37|Compromised,0.02,spatial
H1|Compromised,H38|Compromised,0.02,spatial
H1|Compromised,H39|Compromised,0.02,spatial
H1|Compromised,H40|Compromised,0.02,spatial
H1|Compromised,H41|Compromised,0.02,spatial
H1|Compromised,H42|Compromised,0.02,spatial
H1|Compromised,H43|Compromised,0.02,spatial
H1|Compromised,H44|Compromised,0.02,spatial
H1|Compromised,H45|Compromised,0.02,spatial
H1|Compromised,H46|Compromised,0.02,spatial
H1|Compromised,H47|Compromised,0.02,spatial
H1|Compromised,H48|Compromised,0.02,spatial
H1|Compromised,H49|Compromised,0.02,spatial
H1|Compromised,H50|Compromised,0.02,spatial
H1|Compromised,H51|Compromised,0.02,spatial
H1|Compromised,H52|Compromised,0.02,spatial
H1|Compromised,H53|Compromised,0.02,spatial
H1|Compromised,H54|Compromised,0.02,spatial
H1|Compromised,H55|Compromised,0.02,spatial
H1|Compromised,H56|Compromised,0.02,spatial
H1|Compromised,H57|Compromised,0.02,spatial
H1|Compromised,H58|Compromised,0.02,spatial
H1|Compromised,H59|Compromised,0.02,spatial
H1|Compromised,H60|Compromised,0.02,spatial
H1|Compromised,H61|Compromised,0.02,spatial
H1|Compromised,H62|Compromised,0.02,spatial
H1|Compromised,H63|Compromised,0.02,spatial
H1|Compromised,H64|Compromised,0.02,spatial
H1|Compromised,H65|Compromised,0.02,spatial
H1|Compromised,H66|Compromised,0.02,spatial
H1|Compromised,H67|Compromised,0.02,spatial
H1|Compromised,H68|Compromised,0.02,spatial
H1|Compromised,H69|Compromised,0.02,spatial
H1|Compromised,H70|Compromised,0.02,spatial
H1|Compromised,H71|Compromised,0.02,spatial
H1|Compromised,H72|Compromised,0.02,spatial
H1|Compromised,H73|Compromised,0.02,spatial
H1|Compromised,H74|Compromised,0.02,spatial
H1|Compromised,H75|Compromised,0.02,spatial
H1|Compromised,H76|Compromised,0.02,spatial
H1|Compromised,H77|Compromised,0.02,spatial
H1|Compromised,H78|Compromised,0.02,spatial
H1|Compromised,H79|Compromised,0.02,spatial
