,H0|Compromised,H0|Down,H0|Mitigated,H0|Normal,H0|Recovered,H10|Compromised,H10|Down,H10|Mitigated,H10|Normal,H10|Recovered,H11|Compromised,H11|Down,H11|Mitigated,H11|Normal,H11|Recovered,H12|Compromised,H12|Down,H12|Mitigated,H12|Normal,H12|Recovered,H13|Compromised,H13|Down,H13|Mitigated,H13|Normal,H13|Recovered,H14|Compromised,H14|Down,H14|Mitigated,H14|Normal,H14|Recovered,H15|Compromised,H15|Down,H15|Mitigated,H15|Normal,H15|Recovered,H16|Compromised,H16|Down,H16|Mitigated,H16|Normal,H16|Recovered,H17|Compromised,H17|Down,H17|Mitigated,H17|Normal,H17|Recovered,H1|Compromised,H1|Down,H1|Mitigated,H1|Normal,H1|Recovered,H2|Compromised,H2|Down,H2|Mitigated,H2|Normal,H2|Recovered,H3|Compromised,H3|Down,H3|Mitigated,H3|Normal,H3|Recovered,H4|Compromised,H4|Down,H4|Mitigated,H4|Normal,H4|Recovered,H5|Compromised,H5|Down,H5|Mitigated,H5|Normal,H5|Recovered,H6|Compromised,H6|Down,H6|Mitigated,H6|Normal,H6|Recovered,H7|Compromised,H7|Down,H7|Mitigated,H7|Normal,H7|Recovered,H8|Compromised,H8|Down,H8|Mitigated,H8|Normal,H8|Recovered,H9|Compromised,H9|Down,H9|Mitigated,H9|Normal,H9|Recovered,Total Expected Reward,Total Cost
1,0.0020929496001028712,8.371519345886669e-05,1.6742815451576424e-06,0.053377191366392955,2.511405574873176e-08,0.0020929496001028712,8.371519345886668e-05,1.6742815451576427e-06,0.05337719136639296,2.5114055748731773e-08,0.0020929496001028717,8.371519345886666e-05,1.6742815451576424e-06,0.053377191366392955,2.511405574873177e-08,0.0020929496001028712,8.371519345886669e-05,1.6742815451576433e-06,0.053377191366392955,2.5114055748731803e-08,0.002092949600102872,8.371519345886669e-05,1.6742815451576433e-06,0.05337719136639294,2.51140557487318e-08,0.0020929496001028717,8.371519345886665e-05,1.6742815451576429e-06,0.05337719136639295,2.511405574873177e-08,0.0020929496001028717,8.371519345886668e-05,1.674281545157642e-06,0.05337719136639294,2.511405574873177e-08,0.002092949600102872,8.371519345886657e-05,1.6742815451576422e-06,0.05337719136639294,2.511405574873177e-08,0.0020929496001028717,8.371519345886668e-05,1.6742815451576435e-06,0.053377191366392934,2.51140557487318e-08,0.002092949600102872,8.371519345886665e-05,1.6742815451576429e-06,0.053377191366392934,2.5114055748731796e-08,0.002092949600102872,8.371519345886664e-05,1.6742815451576435e-06,0.05337719136639293,2.5114055748731803e-08,0.002092949600102873,8.371519345886662e-05,1.674281545157643e-06,0.05337719136639292,2.5114055748731783e-08,0.002092949600102873,8.371519345886664e-05,1.674281545157644e-06,0.05337719136639292,2.5114055748731803e-08,0.0020929496001028734,8.371519345886665e-05,1.6742815451576437e-06,0.05337719136639291,2.5114055748731816e-08,0.002092949600102872,8.371519345886662e-05,1.6742815451576429e-06,0.05337719136639292,2.5114055748731796e-08,0.002092949600102873,8.371519345886662e-05,1.674281545157643e-06,0.05337719136639291,2.5114055748731803e-08,0.002092949600102872,8.371519345886657e-05,1.6742815451576416e-06,0.05337719136639291,2.511405574873177e-08,0.002092949600102873,8.37151934588666e-05,1.6742815451576427e-06,0.053377191366392907,2.5114055748731803e-08,0.9080476169706253,-4.540238084853127
2,0.003942919977791367,0.00031539154021956525,1.2614988742748256e-05,0.05128425060923203,3.7843956983016234e-07,0.003942919977791369,0.00031539154021956525,1.261498874274825e-05,0.05128425060923203,3.784395698301622e-07,0.003942919977791369,0.0003153915402195654,1.2614988742748266e-05,0.05128425060923203,3.7843956983016266e-07,0.003942919977791368,0.0003153915402195655,1.261498874274826e-05,0.05128425060923203,3.7843956983016234e-07,0.00394291997779137,0.0003153915402195655,1.261498874274826e-05,0.05128425060923203,3.7843956983016256e-07,0.00394291997779137,0.0003153915402195655,1.261498874274826e-05,0.05128425060923203,3.784395698301627e-07,0.00394291997779137,0.0003153915402195655,1.2614988742748278e-05,0.051284250609232036,3.7843956983016266e-07,0.003942919977791368,0.00031539154021956563,1.2614988742748266e-05,0.05128425060923203,3.7843956983016245e-07,0.00394291997779137,0.00031539154021956606,1.2614988742748291e-05,0.051284250609232036,3.7843956983016314e-07,0.00394291997779137,0.00031539154021956596,1.2614988742748274e-05,0.051284250609232036,3.7843956983016277e-07,0.003942919977791368,0.00031539154021956585,1.2614988742748283e-05,0.05128425060923204,3.784395698301627e-07,0.00394291997779137,0.0003153915402195662,1.2614988742748288e-05,0.051284250609232036,3.7843956983016324e-07,0.00394291997779137,0.00031539154021956606,1.261498874274828e-05,0.05128425060923204,3.7843956983016293e-07,0.003942919977791369,0.0003153915402195662,1.2614988742748288e-05,0.051284250609232036,3.784395698301631e-07,0.00394291997779137,0.000315391540219566,1.261498874274829e-05,0.051284250609232036,3.784395698301634e-07,0.003942919977791371,0.00031539154021956596,1.261498874274828e-05,0.051284250609232036,3.784395698301632e-07,0.003942919977791368,0.000315391540219566,1.2614988742748281e-05,0.05128425060923204,3.7843956983016335e-07,0.00394291997779137,0.0003153915402195662,1.2614988742748285e-05,0.051284250609232036,3.784395698301634e-07,0.79537347412641,-3.97686737063205
5,0.008245063982892526,0.0016476364670711392,0.00016470865692667144,0.045485795360164526,1.2351088500670924e-05,0.008245063982892525,0.0016476364670711392,0.00016470865692667144,0.045485795360164526,1.235108850067092e-05,0.008245063982892528,0.0016476364670711412,0.00016470865692667144,0.045485795360164526,1.2351088500670906e-05,0.008245063982892528,0.0016476364670711403,0.0001647086569266714,0.045485795360164526,1.2351088500670906e-05,0.008245063982892528,0.0016476364670711396,0.00016470865692667144,0.04548579536016453,1.2351088500670904e-05,0.008245063982892526,0.00164763646707114,0.00016470865692667146,0.04548579536016453,1.2351088500670906e-05,0.008245063982892528,0.0016476364670711396,0.0001647086569266714,0.04548579536016453,1.2351088500670907e-05,0.008245063982892526,0.0016476364670711396,0.00016470865692667144,0.04548579536016453,1.2351088500670919e-05,0.008245063982892526,0.0016476364670711396,0.0001647086569266715,0.04548579536016453,1.235108850067092e-05,0.008245063982892526,0.0016476364670711396,0.00016470865692667154,0.04548579536016453,1.235108850067092e-05,0.008245063982892528,0.0016476364670711392,0.00016470865692667152,0.04548579536016454,1.2351088500670924e-05,0.008245063982892528,0.001647636467071139,0.00016470865692667152,0.04548579536016454,1.2351088500670904e-05,0.008245063982892528,0.001647636467071139,0.00016470865692667146,0.04548579536016454,1.2351088500670914e-05,0.008245063982892528,0.0016476364670711392,0.00016470865692667146,0.04548579536016454,1.2351088500670906e-05,0.008245063982892526,0.0016476364670711399,0.0001647086569266715,0.04548579536016454,1.2351088500670907e-05,0.008245063982892528,0.0016476364670711392,0.0001647086569266714,0.04548579536016454,1.2351088500670892e-05,0.008245063982892528,0.0016476364670711388,0.0001647086569266714,0.045485795360164546,1.2351088500670897e-05,0.008245063982892528,0.0016476364670711392,0.00016470865692667144,0.045485795360164546,1.2351088500670904e-05,0.37375860071809097,-1.8687930035904547
10,0.012278454802103088,0.004894742390978943,0.0009776283648797817,0.037258184285985325,0.00014654571160840262,0.012278454802103093,0.004894742390978946,0.000977628364879781,0.03725818428598531,0.00014654571160840256,0.012278454802103097,0.004894742390978948,0.0009776283648797817,0.03725818428598532,0.00014654571160840272,0.012278454802103092,0.004894742390978947,0.000977628364879782,0.03725818428598531,0.00014654571160840278,0.012278454802103092,0.004894742390978943,0.000977628364879782,0.037258184285985325,0.00014654571160840283,0.012278454802103097,0.004894742390978944,0.0009776283648797813,0.037258184285985325,0.00014654571160840264,0.012278454802103097,0.004894742390978946,0.0009776283648797813,0.03725818428598532,0.00014654571160840272,0.0122784548021031,0.004894742390978946,0.000977628364879782,0.037258184285985325,0.0001465457116084028,0.012278454802103099,0.004894742390978946,0.0009776283648797826,0.03725818428598532,0.00014654571160840291,0.012278454802103097,0.004894742390978948,0.0009776283648797823,0.03725818428598532,0.00014654571160840297,0.0122784548021031,0.004894742390978944,0.0009776283648797813,0.03725818428598533,0.00014654571160840264,0.012278454802103095,0.004894742390978946,0.0009776283648797817,0.03725818428598533,0.00014654571160840278,0.012278454802103099,0.004894742390978944,0.0009776283648797817,0.037258184285985325,0.00014654571160840272,0.012278454802103092,0.004894742390978946,0.0009776283648797817,0.03725818428598533,0.0001465457116084027,0.012278454802103095,0.004894742390978948,0.0009776283648797823,0.037258184285985325,0.00014654571160840283,0.012278454802103099,0.004894742390978944,0.0009776283648797826,0.037258184285985325,0.00014654571160840283,0.012278454802103102,0.004894742390978944,0.0009776283648797821,0.03725818428598532,0.00014654571160840283,0.012278454802103097,0.004894742390978946,0.000977628364879782,0.03725818428598532,0.00014654571160840283,-0.4314184996663301,2.1570924983316506
20,0.013787607318760976,0.010862121260063229,0.004319466037463234,0.025294203635683073,0.0012921573035850691,0.013787607318760987,0.01086212126006323,0.004319466037463237,0.025294203635683053,0.0012921573035850694,0.013787607318760994,0.010862121260063232,0.0043194660374632375,0.025294203635683056,0.0012921573035850707,0.013787607318760975,0.01086212126006323,0.004319466037463237,0.025294203635683046,0.0012921573035850707,0.01378760731876098,0.010862121260063229,0.004319466037463236,0.025294203635683063,0.0012921573035850702,0.013787607318760995,0.010862121260063232,0.004319466037463236,0.02529420363568306,0.00129215730358507,0.013787607318760994,0.010862121260063232,0.004319466037463237,0.025294203635683046,0.0012921573035850676,0.013787607318760997,0.010862121260063235,0.004319466037463237,0.025294203635683053,0.0012921573035850702,0.013787607318760994,0.010862121260063232,0.004319466037463238,0.025294203635683042,0.0012921573035850702,0.013787607318760988,0.010862121260063235,0.0043194660374632375,0.025294203635683042,0.0012921573035850707,0.013787607318761002,0.010862121260063234,0.004319466037463235,0.025294203635683046,0.0012921573035850694,0.013787607318760987,0.010862121260063237,0.004319466037463234,0.025294203635683042,0.0012921573035850694,0.01378760731876099,0.010862121260063235,0.004319466037463234,0.025294203635683035,0.001292157303585068,0.013787607318760983,0.010862121260063237,0.004319466037463235,0.025294203635683035,0.0012921573035850691,0.013787607318760983,0.01086212126006324,0.004319466037463237,0.025294203635683028,0.0012921573035850691,0.013787607318760987,0.010862121260063237,0.004319466037463238,0.025294203635683028,0.001292157303585069,0.01378760731876099,0.010862121260063239,0.004319466037463237,0.025294203635683018,0.0012921573035850687,0.013787607318760983,0.010862121260063239,0.0043194660374632375,0.02529420363568301,0.001292157303585069,-1.7480630931067853,8.740315465533927
30,0.011953601862346184,0.013714460382844088,0.008098387973251261,0.01817153474359805,0.0036175705935157306,0.011953601862346192,0.013714460382844096,0.008098387973251263,0.018171534743598054,0.0036175705935157314,0.011953601862346187,0.013714460382844091,0.008098387973251273,0.018171534743598054,0.003617570593515732,0.011953601862346197,0.013714460382844094,0.00809838797325127,0.01817153474359806,0.0036175705935157314,0.011953601862346196,0.013714460382844107,0.008098387973251268,0.018171534743598082,0.0036175705935157297,0.011953601862346194,0.01371446038284409,0.008098387973251272,0.018171534743598085,0.0036175705935157336,0.011953601862346206,0.013714460382844107,0.00809838797325127,0.01817153474359809,0.0036175705935157275,0.011953601862346187,0.013714460382844091,0.00809838797325127,0.01817153474359811,0.003617570593515734,0.011953601862346199,0.013714460382844105,0.008098387973251273,0.018171534743598113,0.0036175705935157323,0.0119536018623462,0.013714460382844115,0.008098387973251275,0.01817153474359812,0.0036175705935157358,0.0119536018623462,0.013714460382844115,0.00809838797325127,0.01817153474359814,0.0036175705935157336,0.011953601862346199,0.013714460382844112,0.008098387973251272,0.01817153474359814,0.0036175705935157345,0.011953601862346203,0.013714460382844115,0.008098387973251273,0.018171534743598144,0.003617570593515736,0.011953601862346192,0.013714460382844119,0.008098387973251275,0.01817153474359815,0.003617570593515736,0.0119536018623462,0.013714460382844119,0.008098387973251275,0.018171534743598165,0.003617570593515736,0.011953601862346204,0.013714460382844122,0.008098387973251278,0.01817153474359817,0.003617570593515739,0.011953601862346211,0.013714460382844124,0.008098387973251278,0.01817153474359818,0.0036175705935157397,0.011953601862346203,0.013714460382844124,0.008098387973251277,0.018171534743598193,0.003617570593515738,-2.356680077049405,11.783400385247024
