,H0|Compromised,H0|Down,H0|Mitigated,H0|Normal,H0|Recovered,H10|Compromised,H10|Down,H10|Mitigated,H10|Normal,H10|Recovered,H11|Compromised,H11|Down,H11|Mitigated,H11|Normal,H11|Recovered,H12|Compromised,H12|Down,H12|Mitigated,H12|Normal,H12|Recovered,H13|Compromised,H13|Down,H13|Mitigated,H13|Normal,H13|Recovered,H14|Compromised,H14|Down,H14|Mitigated,H14|Normal,H14|Recovered,H15|Compromised,H15|Down,H15|Mitigated,H15|Normal,H15|Recovered,H16|Compromised,H16|Down,H16|Mitigated,H16|Normal,H16|Recovered,H17|Compromised,H17|Down,H17|Mitigated,H17|Normal,H17|Recovered,H18|Compromised,H18|Down,H18|Mitigated,H18|Normal,H18|Recovered,H19|Compromised,H19|Down,H19|Mitigated,H19|Normal,H19|Recovered,H1|Compromised,H1|Down,H1|Mitigated,H1|Normal,H1|Recovered,H20|Compromised,H20|Down,H20|Mitigated,H20|Normal,H20|Recovered,H21|Compromised,H21|Down,H21|Mitigated,H21|Normal,H21|Recovered,H22|Compromised,H22|Down,H22|Mitigated,H22|Normal,H22|Recovered,H23|Compromised,H23|Down,H23|Mitigated,H23|Normal,H23|Recovered,H24|Compromised,H24|Down,H24|Mitigated,H24|Normal,H24|Recovered,H25|Compromised,H25|Down,H25|Mitigated,H25|Normal,H25|Recovered,H26|Compromised,H26|Down,H26|Mitigated,H26|Normal,H26|Recovered,H27|Compromised,H27|Down,H27|Mitigated,H27|Normal,H27|Recovered,H28|Compromised,H28|Down,H28|Mitigated,H28|Normal,H28|Recovered,H29|Compromised,H29|Down,H29|Mitigated,H29|Normal,H29|Recovered,H2|Compromised,H2|Down,H2|Mitigated,H2|Normal,H2|Recovered,H30|Compromised,H30|Down,H30|Mitigated,H30|Normal,H30|Recovered,H31|Compromised,H31|Down,H31|Mitigated,H31|Normal,H31|Recovered,H32|Compromised,H32|Down,H32|Mitigated,H32|Normal,H32|Recovered,H33|Compromised,H33|Down,H33|Mitigated,H33|Normal,H33|Recovered,H34|Compromised,H34|Down,H34|Mitigated,H34|Normal,H34|Recovered,H35|Compromised,H35|Down,H35|Mitigated,H35|Normal,H35|Recovered,H36|Compromised,H36|Down,H36|Mitigated,H36|Normal,H36|Recovered,H37|Compromised,H37|Down,H37|Mitigated,H37|Normal,H37|Recovered,H38|Compromised,H38|Down,H38|Mitigated,H38|Normal,H38|Recovered,H3|Compromised,H3|Down,H3|Mitigated,H3|Normal,H3|Recovered,H4|Compromised,H4|Down,H4|Mitigated,H4|Normal,H4|Recovered,H5|Compromised,H5|Down,H5|Mitigated,H5|Normal,H5|Recovered,H6|Compromised,H6|Down,H6|Mitigated,H6|Normal,H6|Recovered,H7|Compromised,H7|Down,H7|Mitigated,H7|Normal,H7|Recovered,H8|Compromised,H8|Down,H8|Mitigated,H8|Normal,H8|Recovered,H9|Compromised,H9|Down,H9|Mitigated,H9|Normal,H9|Recovered,Total Expected Reward,Total Cost
1,0.0004952008343767228,1.2318121682087347e-05,2.0478774903284432e-07,0.025133299341220296,2.5559974911844247e-09,0.0004952008343767228,1.2318121682087346e-05,2.047877490328442e-07,0.025133299341220296,2.555997491184423e-09,0.0004952008343767228,1.2318121682087346e-05,2.047877490328442e-07,0.025133299341220296,2.5559974911844226e-09,0.0004952008343767227,1.2318121682087344e-05,2.047877490328443e-07,0.025133299341220296,2.5559974911844247e-09,0.0004952008343767228,1.2318121682087349e-05,2.0478774903284437e-07,0.025133299341220296,2.5559974911844267e-09,0.0004952008343767229,1.2318121682087349e-05,2.0478774903284437e-07,0.025133299341220296,2.5559974911844263e-09,0.0004952008343767229,1.231812168208735e-05,2.0478774903284432e-07,0.025133299341220296,2.5559974911844247e-09,0.0004952008343767229,1.2318121682087346e-05,2.0478774903284437e-07,0.0251332993412203,2.5559974911844267e-09,0.0004952008343767227,1.2318121682087346e-05,2.0478774903284437e-07,0.0251332993412203,2.555997491184427e-09,0.0004952008343767229,1.2318121682087344e-05,2.047877490328444e-07,0.0251332993412203,2.5559974911844292e-09,0.0004952008343767227,1.231812168208734e-05,2.0478774903284416e-07,0.0251332993412203,2.5559974911844243e-09,0.000495200834376723,1.2318121682087346e-05,2.047877490328444e-07,0.0251332993412203,2.555997491184428e-09,0.000495200834376723,1.2318121682087342e-05,2.0478774903284432e-07,0.0251332993412203,2.5559974911844267e-09,0.0004952008343767228,1.231812168208734e-05,2.0478774903284422e-07,0.0251332993412203,2.5559974911844267e-09,0.000495200834376723,1.231812168208734e-05,2.047877490328443e-07,0.0251332993412203,2.555997491184428e-09,0.0004952008343767228,1.231812168208734e-05,2.0478774903284422e-07,0.0251332993412203,2.5559974911844263e-09,0.0004952008343767229,1.2318121682087339e-05,2.047877490328443e-07,0.0251332993412203,2.555997491184426e-09,0.000495200834376723,1.2318121682087342e-05,2.0478774903284424e-07,0.0251332993412203,2.555997491184426e-09,0.0004952008343767228,1.2318121682087344e-05,2.047877490328444e-07,0.0251332993412203,2.555997491184432e-09,0.0004952008343767228,1.231812168208734e-05,2.0478774903284443e-07,0.0251332993412203,2.5559974911844313e-09,0.0004952008343767231,1.2318121682087335e-05,2.047877490328442e-07,0.0251332993412203,2.555997491184423e-09,0.0004952008343767231,1.2318121682087344e-05,2.0478774903284448e-07,0.025133299341220303,2.555997491184429e-09,0.000495200834376723,1.2318121682087339e-05,2.047877490328444e-07,0.025133299341220303,2.5559974911844276e-09,0.0004952008343767231,1.2318121682087344e-05,2.047877490328445e-07,0.025133299341220303,2.555997491184429e-09,0.000495200834376723,1.2318121682087339e-05,2.0478774903284437e-07,0.025133299341220303,2.555997491184428e-09,0.0004952008343767232,1.231812168208734e-05,2.0478774903284448e-07,0.025133299341220303,2.55599749118443e-09,0.000495200834376723,1.2318121682087344e-05,2.0478774903284448e-07,0.025133299341220303,2.555997491184429e-09,0.0004952008343767232,1.2318121682087347e-05,2.047877490328446e-07,0.025133299341220303,2.5559974911844334e-09,0.0004952008343767232,1.2318121682087339e-05,2.0478774903284448e-07,0.025133299341220303,2.555997491184431e-09,0.0004952008343767231,1.231812168208734e-05,2.0478774903284448e-07,0.025133299341220303,2.5559974911844317e-09,0.0004952008343767232,1.231812168208734e-05,2.0478774903284448e-07,0.025133299341220303,2.5559974911844313e-09,0.000495200834376723,1.2318121682087334e-05,2.0478774903284445e-07,0.025133299341220303,2.555997491184429e-09,0.0004952008343767233,1.231812168208734e-05,2.047877490328446e-07,0.025133299341220303,2.5559974911844334e-09,0.0004952008343767233,1.2318121682087342e-05,2.0478774903284459e-07,0.025133299341220303,2.5559974911844325e-09,0.0004952008343767233,1.2318121682087342e-05,2.0478774903284456e-07,0.025133299341220303,2.555997491184433e-09,0.0004952008343767233,1.2318121682087339e-05,2.0478774903284456e-07,0.025133299341220307,2.5559974911844313e-09,0.0004952008343767231,1.2318121682087339e-05,2.0478774903284467e-07,0.025133299341220307,2.5559974911844346e-09,0.0004952008343767232,1.231812168208734e-05,2.047877490328446e-07,0.025133299341220307,2.555997491184433e-09,0.0004952008343767234,1.2318121682087344e-05,2.047877490328447e-07,0.025133299341220307,2.5559974911844346e-09,0.9560817743108855,-11.472981291730626
2,0.0009564448106530812,4.734404663334699e-05,1.5702128091635695e-06,0.02463562743396491,3.9136965192381604e-08,0.0009564448106530812,4.734404663334699e-05,1.5702128091635693e-06,0.02463562743396491,3.913696519238161e-08,0.0009564448106530811,4.7344046633347e-05,1.570212809163569e-06,0.024635627433964906,3.913696519238158e-08,0.0009564448106530812,4.734404663334701e-05,1.5702128091635701e-06,0.024635627433964906,3.913696519238161e-08,0.0009564448106530812,4.734404663334701e-05,1.5702128091635701e-06,0.024635627433964902,3.91369651923816e-08,0.0009564448106530812,4.734404663334698e-05,1.5702128091635693e-06,0.024635627433964902,3.9136965192381584e-08,0.0009564448106530814,4.7344046633347004e-05,1.5702128091635707e-06,0.024635627433964902,3.913696519238166e-08,0.0009564448106530813,4.734404663334699e-05,1.5702128091635718e-06,0.0246356274339649,3.9136965192381644e-08,0.0009564448106530815,4.734404663334701e-05,1.5702128091635727e-06,0.0246356274339649,3.9136965192381624e-08,0.0009564448106530813,4.734404663334701e-05,1.5702128091635741e-06,0.024635627433964895,3.913696519238164e-08,0.0009564448106530812,4.734404663334701e-05,1.5702128091635718e-06,0.024635627433964895,3.9136965192381624e-08,0.0009564448106530812,4.734404663334702e-05,1.5702128091635769e-06,0.024635627433964895,3.913696519238165e-08,0.0009564448106530814,4.734404663334702e-05,1.5702128091635782e-06,0.024635627433964892,3.91369651923817e-08,0.0009564448106530814,4.7344046633347025e-05,1.5702128091635767e-06,0.024635627433964892,3.913696519238166e-08,0.0009564448106530814,4.7344046633347004e-05,1.570212809163575e-06,0.02463562743396489,3.913696519238161e-08,0.0009564448106530813,4.734404663334701e-05,1.5702128091635775e-06,0.02463562743396489,3.913696519238169e-08,0.0009564448106530812,4.7344046633347025e-05,1.570212809163578e-06,0.02463562743396489,3.913696519238171e-08,0.0009564448106530814,4.7344046633347025e-05,1.570212809163578e-06,0.024635627433964885,3.913696519238169e-08,0.0009564448106530815,4.734404663334703e-05,1.5702128091635767e-06,0.024635627433964885,3.913696519238165e-08,0.0009564448106530815,4.734404663334703e-05,1.5702128091635775e-06,0.02463562743396488,3.9136965192381703e-08,0.0009564448106530813,4.734404663334699e-05,1.5702128091635718e-06,0.02463562743396488,3.913696519238162e-08,0.0009564448106530812,4.7344046633347e-05,1.5702128091635718e-06,0.02463562743396488,3.913696519238163e-08,0.0009564448106530812,4.734404663334699e-05,1.570212809163572e-06,0.024635627433964878,3.9136965192381604e-08,0.0009564448106530813,4.734404663334699e-05,1.5702128091635718e-06,0.024635627433964878,3.913696519238162e-08,0.0009564448106530814,4.734404663334699e-05,1.5702128091635722e-06,0.024635627433964875,3.913696519238165e-08,0.0009564448106530813,4.734404663334698e-05,1.570212809163572e-06,0.024635627433964875,3.913696519238161e-08,0.0009564448106530813,4.7344046633346984e-05,1.5702128091635743e-06,0.02463562743396487,3.913696519238165e-08,0.0009564448106530813,4.734404663334698e-05,1.570212809163573e-06,0.02463562743396487,3.913696519238163e-08,0.0009564448106530814,4.734404663334699e-05,1.5702128091635727e-06,0.02463562743396487,3.9136965192381624e-08,0.0009564448106530816,4.734404663334702e-05,1.5702128091635743e-06,0.024635627433964868,3.913696519238159e-08,0.0009564448106530814,4.7344046633347004e-05,1.5702128091635752e-06,0.024635627433964868,3.9136965192381624e-08,0.0009564448106530815,4.7344046633347e-05,1.5702128091635754e-06,0.024635627433964864,3.913696519238168e-08,0.0009564448106530816,4.734404663334702e-05,1.5702128091635758e-06,0.024635627433964864,3.913696519238167e-08,0.0009564448106530815,4.734404663334702e-05,1.5702128091635756e-06,0.024635627433964864,3.913696519238167e-08,0.0009564448106530816,4.7344046633347025e-05,1.5702128091635754e-06,0.02463562743396486,3.9136965192381684e-08,0.0009564448106530816,4.734404663334702e-05,1.5702128091635752e-06,0.02463562743396486,3.913696519238168e-08,0.0009564448106530819,4.734404663334702e-05,1.5702128091635752e-06,0.024635627433964857,3.913696519238172e-08,0.0009564448106530815,4.734404663334703e-05,1.570212809163576e-06,0.024635627433964857,3.913696519238172e-08,0.0009564448106530816,4.734404663334704e-05,1.5702128091635765e-06,0.024635627433964857,3.913696519238173e-08,0.9050239441221549,-10.860287329465859
5,0.0021544735237246306,0.00026257888644425737,2.1605352356301563e-05,0.023201027798233718,1.3400802667311352e-06,0.0021544735237246297,0.0002625788864442575,2.1605352356301567e-05,0.023201027798233718,1.340080266731135e-06,0.0021544735237246306,0.0002625788864442574,2.160535235630161e-05,0.023201027798233718,1.3400802667311335e-06,0.0021544735237246297,0.00026257888644425737,2.1605352356301584e-05,0.023201027798233718,1.3400802667311346e-06,0.0021544735237246297,0.0002625788864442574,2.1605352356301597e-05,0.023201027798233718,1.3400802667311341e-06,0.0021544735237246306,0.0002625788864442573,2.1605352356301618e-05,0.023201027798233718,1.3400802667311352e-06,0.0021544735237246297,0.0002625788864442574,2.1605352356301574e-05,0.023201027798233714,1.3400802667311333e-06,0.0021544735237246293,0.0002625788864442574,2.1605352356301604e-05,0.023201027798233718,1.3400802667311335e-06,0.0021544735237246314,0.0002625788864442575,2.1605352356301584e-05,0.023201027798233718,1.3400802667311335e-06,0.002154473523724632,0.00026257888644425737,2.160535235630159e-05,0.023201027798233718,1.3400802667311335e-06,0.00215447352372463,0.00026257888644425737,2.1605352356301594e-05,0.023201027798233718,1.3400802667311346e-06,0.00215447352372463,0.0002625788864442574,2.160535235630161e-05,0.023201027798233718,1.3400802667311346e-06,0.002154473523724631,0.0002625788864442573,2.160535235630157e-05,0.023201027798233718,1.3400802667311333e-06,0.00215447352372463,0.00026257888644425737,2.1605352356301567e-05,0.023201027798233718,1.3400802667311341e-06,0.00215447352372463,0.00026257888644425726,2.1605352356301587e-05,0.023201027798233714,1.3400802667311354e-06,0.0021544735237246306,0.0002625788864442574,2.160535235630157e-05,0.023201027798233714,1.340080266731134e-06,0.002154473523724631,0.0002625788864442574,2.1605352356301618e-05,0.023201027798233718,1.3400802667311365e-06,0.00215447352372463,0.0002625788864442575,2.1605352356301597e-05,0.023201027798233718,1.340080266731135e-06,0.0021544735237246297,0.0002625788864442575,2.1605352356301624e-05,0.023201027798233718,1.3400802667311363e-06,0.0021544735237246306,0.0002625788864442574,2.1605352356301577e-05,0.023201027798233718,1.3400802667311344e-06,0.0021544735237246297,0.00026257888644425753,2.1605352356301577e-05,0.023201027798233718,1.340080266731136e-06,0.002154473523724629,0.00026257888644425753,2.1605352356301553e-05,0.023201027798233718,1.3400802667311335e-06,0.002154473523724629,0.00026257888644425753,2.1605352356301567e-05,0.023201027798233718,1.3400802667311367e-06,0.0021544735237246297,0.0002625788864442575,2.160535235630157e-05,0.023201027798233718,1.3400802667311344e-06,0.0021544735237246297,0.0002625788864442575,2.160535235630157e-05,0.023201027798233718,1.3400802667311354e-06,0.0021544735237246297,0.0002625788864442575,2.1605352356301563e-05,0.023201027798233718,1.3400802667311346e-06,0.0021544735237246306,0.0002625788864442574,2.1605352356301547e-05,0.023201027798233718,1.3400802667311341e-06,0.0021544735237246297,0.0002625788864442574,2.1605352356301533e-05,0.023201027798233718,1.3400802667311329e-06,0.00215447352372463,0.0002625788864442576,2.1605352356301567e-05,0.023201027798233718,1.3400802667311337e-06,0.0021544735237246293,0.00026257888644425753,2.160535235630158e-05,0.023201027798233718,1.3400802667311358e-06,0.0021544735237246293,0.0002625788864442575,2.1605352356301567e-05,0.023201027798233718,1.340080266731135e-06,0.0021544735237246297,0.0002625788864442575,2.1605352356301574e-05,0.023201027798233718,1.340080266731135e-06,0.00215447352372463,0.0002625788864442575,2.1605352356301577e-05,0.023201027798233718,1.3400802667311346e-06,0.00215447352372463,0.00026257888644425737,2.1605352356301567e-05,0.023201027798233718,1.3400802667311344e-06,0.002154473523724631,0.0002625788864442573,2.1605352356301567e-05,0.023201027798233718,1.3400802667311341e-06,0.002154473523724632,0.0002625788864442573,2.1605352356301563e-05,0.023201027798233718,1.340080266731135e-06,0.002154473523724632,0.00026257888644425737,2.1605352356301567e-05,0.023201027798233718,1.3400802667311358e-06,0.002154473523724631,0.00026257888644425726,2.1605352356301577e-05,0.023201027798233718,1.3400802667311352e-06,0.002154473523724632,0.00026257888644425726,2.160535235630155e-05,0.023201027798233718,1.3400802667311335e-06,0.718409850992594,-8.620918211911128
10,0.0036274109245592583,0.0008615681344894254,0.00013993452971250097,0.020994889198861524,1.722285340294134e-05,0.0036274109245592566,0.0008615681344894254,0.00013993452971250097,0.020994889198861524,1.7222853402941337e-05,0.0036274109245592566,0.0008615681344894259,0.00013993452971250095,0.020994889198861527,1.7222853402941317e-05,0.0036274109245592566,0.0008615681344894253,0.00013993452971250092,0.020994889198861524,1.7222853402941327e-05,0.0036274109245592566,0.0008615681344894254,0.00013993452971250095,0.02099488919886152,1.722285340294133e-05,0.003627410924559258,0.0008615681344894254,0.00013993452971250095,0.02099488919886152,1.722285340294133e-05,0.0036274109245592566,0.0008615681344894255,0.00013993452971250092,0.02099488919886152,1.7222853402941327e-05,0.003627410924559256,0.0008615681344894255,0.00013993452971250097,0.02099488919886152,1.7222853402941324e-05,0.0036274109245592583,0.0008615681344894257,0.00013993452971250092,0.02099488919886152,1.7222853402941324e-05,0.0036274109245592588,0.0008615681344894254,0.00013993452971250092,0.020994889198861524,1.722285340294133e-05,0.0036274109245592575,0.0008615681344894253,0.00013993452971250092,0.02099488919886152,1.722285340294133e-05,0.0036274109245592583,0.0008615681344894257,0.000139934529712501,0.02099488919886152,1.722285340294133e-05,0.0036274109245592588,0.0008615681344894253,0.00013993452971250092,0.02099488919886152,1.722285340294132e-05,0.0036274109245592575,0.0008615681344894251,0.0001399345297125009,0.02099488919886152,1.722285340294135e-05,0.0036274109245592575,0.0008615681344894241,0.0001399345297125009,0.020994889198861517,1.722285340294134e-05,0.003627410924559259,0.0008615681344894252,0.00013993452971250092,0.020994889198861517,1.7222853402941327e-05,0.003627410924559259,0.0008615681344894255,0.00013993452971250103,0.020994889198861517,1.7222853402941348e-05,0.0036274109245592588,0.0008615681344894256,0.00013993452971250097,0.020994889198861517,1.7222853402941348e-05,0.003627410924559257,0.0008615681344894257,0.0001399345297125011,0.020994889198861517,1.722285340294137e-05,0.00362741092455926,0.0008615681344894246,0.00013993452971250097,0.020994889198861513,1.7222853402941317e-05,0.0036274109245592575,0.0008615681344894253,0.00013993452971250103,0.020994889198861513,1.722285340294133e-05,0.0036274109245592566,0.0008615681344894252,0.00013993452971250095,0.020994889198861513,1.7222853402941307e-05,0.0036274109245592566,0.0008615681344894251,0.00013993452971250084,0.02099488919886151,1.7222853402941337e-05,0.0036274109245592583,0.0008615681344894249,0.00013993452971250092,0.02099488919886151,1.7222853402941324e-05,0.0036274109245592583,0.0008615681344894248,0.00013993452971250092,0.02099488919886151,1.7222853402941324e-05,0.0036274109245592583,0.000861568134489425,0.00013993452971250087,0.02099488919886151,1.7222853402941327e-05,0.0036274109245592596,0.0008615681344894249,0.00013993452971250084,0.02099488919886151,1.7222853402941314e-05,0.0036274109245592583,0.0008615681344894246,0.00013993452971250084,0.02099488919886151,1.7222853402941314e-05,0.0036274109245592583,0.0008615681344894253,0.0001399345297125009,0.02099488919886151,1.7222853402941317e-05,0.0036274109245592575,0.000861568134489425,0.00013993452971250097,0.020994889198861506,1.722285340294134e-05,0.003627410924559257,0.0008615681344894246,0.00013993452971250087,0.020994889198861506,1.7222853402941337e-05,0.003627410924559258,0.0008615681344894249,0.00013993452971250095,0.020994889198861506,1.7222853402941324e-05,0.003627410924559258,0.0008615681344894246,0.00013993452971250097,0.02099488919886151,1.7222853402941337e-05,0.0036274109245592588,0.0008615681344894245,0.00013993452971250092,0.02099488919886151,1.722285340294132e-05,0.0036274109245592583,0.0008615681344894244,0.00013993452971250095,0.02099488919886151,1.722285340294133e-05,0.003627410924559261,0.0008615681344894245,0.00013993452971250092,0.020994889198861506,1.722285340294134e-05,0.003627410924559259,0.0008615681344894246,0.00013993452971250095,0.020994889198861506,1.7222853402941344e-05,0.0036274109245592583,0.0008615681344894242,0.00013993452971250097,0.020994889198861506,1.722285340294133e-05,0.003627410924559259,0.0008615681344894244,0.00013993452971250087,0.020994889198861506,1.722285340294133e-05,0.3413200802469122,-4.095840962962946
20,0.005172424719238314,0.0023283532441519495,0.0007357808341663372,0.017226321838595123,0.00017814500487392672,0.005172424719238305,0.002328353244151949,0.0007357808341663369,0.017226321838595123,0.00017814500487392667,0.005172424719238312,0.0023283532441519495,0.0007357808341663378,0.017226321838595127,0.00017814500487392664,0.005172424719238308,0.002328353244151949,0.0007357808341663367,0.01722632183859512,0.00017814500487392667,0.005172424719238308,0.002328353244151949,0.0007357808341663367,0.017226321838595116,0.00017814500487392667,0.005172424719238311,0.002328353244151949,0.0007357808341663371,0.017226321838595116,0.0001781450048739267,0.005172424719238309,0.002328353244151949,0.0007357808341663369,0.017226321838595113,0.0001781450048739267,0.005172424719238305,0.002328353244151949,0.0007357808341663371,0.017226321838595113,0.0001781450048739267,0.005172424719238315,0.0023283532441519495,0.0007357808341663371,0.017226321838595113,0.0001781450048739266,0.0051724247192383175,0.002328353244151949,0.000735780834166337,0.017226321838595116,0.00017814500487392678,0.005172424719238313,0.0023283532441519487,0.000735780834166337,0.017226321838595116,0.00017814500487392667,0.005172424719238315,0.0023283532441519504,0.0007357808341663376,0.017226321838595116,0.00017814500487392678,0.0051724247192383175,0.002328353244151949,0.0007357808341663372,0.017226321838595113,0.0001781450048739267,0.005172424719238315,0.002328353244151949,0.000735780834166337,0.017226321838595113,0.00017814500487392683,0.005172424719238315,0.0023283532441519482,0.000735780834166337,0.0172263218385951,0.0001781450048739266,0.005172424719238319,0.00232835324415195,0.0007357808341663374,0.0172263218385951,0.00017814500487392654,0.005172424719238319,0.0023283532441519504,0.0007357808341663377,0.01722632183859511,0.0001781450048739268,0.005172424719238318,0.00232835324415195,0.0007357808341663375,0.017226321838595106,0.00017814500487392686,0.005172424719238314,0.00232835324415195,0.000735780834166338,0.017226321838595106,0.00017814500487392697,0.005172424719238319,0.0023283532441519504,0.0007357808341663378,0.017226321838595095,0.00017814500487392613,0.0051724247192383044,0.002328353244151949,0.0007357808341663369,0.0172263218385951,0.00017814500487392672,0.005172424719238304,0.002328353244151949,0.0007357808341663368,0.0172263218385951,0.00017814500487392635,0.0051724247192383044,0.002328353244151949,0.0007357808341663366,0.017226321838595095,0.0001781450048739266,0.005172424719238312,0.002328353244151949,0.0007357808341663368,0.017226321838595095,0.0001781450048739267,0.005172424719238312,0.0023283532441519487,0.0007357808341663368,0.017226321838595092,0.0001781450048739266,0.005172424719238316,0.0023283532441519487,0.0007357808341663368,0.017226321838595092,0.0001781450048739267,0.005172424719238319,0.00232835324415195,0.000735780834166337,0.017226321838595092,0.00017814500487392654,0.005172424719238312,0.002328353244151949,0.000735780834166337,0.01722632183859509,0.0001781450048739266,0.005172424719238312,0.00232835324415195,0.0007357808341663372,0.01722632183859509,0.00017814500487392656,0.005172424719238313,0.0023283532441519495,0.0007357808341663372,0.01722632183859509,0.0001781450048739267,0.005172424719238313,0.0023283532441519487,0.000735780834166337,0.01722632183859509,0.0001781450048739266,0.005172424719238316,0.00232835324415195,0.0007357808341663374,0.01722632183859509,0.00017814500487392662,0.005172424719238314,0.0023283532441519495,0.0007357808341663374,0.017226321838595085,0.00017814500487392664,0.005172424719238316,0.0023283532441519495,0.0007357808341663372,0.017226321838595085,0.0001781450048739266,0.005172424719238316,0.002328353244151949,0.0007357808341663374,0.017226321838595085,0.00017814500487392662,0.005172424719238318,0.00232835324415195,0.0007357808341663374,0.017226321838595085,0.0001781450048739266,0.005172424719238316,0.0023283532441519504,0.0007357808341663375,0.017226321838595085,0.00017814500487392662,0.005172424719238315,0.0023283532441519495,0.0007357808341663375,0.01722632183859508,0.00017814500487392654,0.005172424719238316,0.0023283532441519504,0.0007357808341663374,0.01722632183859508,0.00017814500487392656,-0.43795577756434556,5.255469330772147
30,0.005586134310460406,0.0035613087353041015,0.0016387318524610753,0.014270189574080343,0.0005846611687196804,0.0055861343104604035,0.0035613087353040976,0.0016387318524610746,0.014270189574080338,0.0005846611687196803,0.005586134310460387,0.0035613087353040984,0.0016387318524610744,0.01427018957408031,0.0005846611687196797,0.0055861343104604035,0.003561308735304098,0.0016387318524610753,0.014270189574080336,0.0005846611687196804,0.005586134310460406,0.003561308735304098,0.0016387318524610736,0.014270189574080336,0.0005846611687196805,0.0055861343104604095,0.0035613087353041015,0.001638731852461076,0.01427018957408034,0.0005846611687196806,0.0055861343104604035,0.003561308735304098,0.0016387318524610744,0.014270189574080331,0.0005846611687196806,0.00558613431046041,0.0035613087353040997,0.0016387318524610757,0.01427018957408033,0.0005846611687196805,0.0055861343104604095,0.0035613087353041015,0.001638731852461076,0.01427018957408033,0.0005846611687196806,0.005586134310460404,0.0035613087353041015,0.001638731852461076,0.014270189574080324,0.0005846611687196806,0.005586134310460405,0.003561308735304101,0.001638731852461076,0.014270189574080324,0.0005846611687196807,0.0055861343104604,0.0035613087353041006,0.001638731852461076,0.014270189574080322,0.0005846611687196808,0.005586134310460406,0.0035613087353041023,0.0016387318524610768,0.014270189574080324,0.000584661168719681,0.005586134310460406,0.003561308735304103,0.0016387318524610762,0.014270189574080315,0.0005846611687196807,0.005586134310460407,0.0035613087353041045,0.0016387318524610764,0.014270189574080317,0.0005846611687196811,0.005586134310460405,0.0035613087353041045,0.001638731852461077,0.014270189574080315,0.0005846611687196817,0.005586134310460403,0.003561308735304103,0.001638731852461077,0.014270189574080315,0.0005846611687196817,0.0055861343104604,0.003561308735304103,0.0016387318524610768,0.014270189574080308,0.0005846611687196812,0.005586134310460406,0.0035613087353041045,0.0016387318524610783,0.014270189574080315,0.0005846611687196822,0.005586134310460418,0.003561308735304108,0.0016387318524610788,0.014270189574080357,0.0005846611687196817,0.005586134310460388,0.003561308735304096,0.0016387318524610725,0.014270189574080345,0.0005846611687196797,0.005586134310460399,0.0035613087353040997,0.0016387318524610736,0.014270189574080345,0.0005846611687196805,0.005586134310460386,0.0035613087353040984,0.001638731852461075,0.014270189574080341,0.0005846611687196806,0.005586134310460389,0.0035613087353041006,0.0016387318524610749,0.01427018957408035,0.0005846611687196806,0.005586134310460388,0.0035613087353041,0.0016387318524610744,0.014270189574080336,0.0005846611687196804,0.005586134310460401,0.003561308735304101,0.0016387318524610744,0.014270189574080338,0.0005846611687196803,0.005586134310460395,0.0035613087353041006,0.0016387318524610744,0.014270189574080336,0.0005846611687196806,0.005586134310460386,0.0035613087353041,0.0016387318524610742,0.014270189574080336,0.0005846611687196808,0.005586134310460388,0.0035613087353041,0.0016387318524610746,0.01427018957408033,0.0005846611687196807,0.005586134310460404,0.0035613087353041015,0.0016387318524610755,0.01427018957408033,0.0005846611687196807,0.005586134310460402,0.0035613087353041006,0.001638731852461076,0.014270189574080338,0.0005846611687196811,0.00558613431046039,0.003561308735304102,0.0016387318524610757,0.014270189574080338,0.0005846611687196809,0.0055861343104604,0.003561308735304102,0.0016387318524610757,0.014270189574080322,0.0005846611687196812,0.005586134310460408,0.003561308735304102,0.0016387318524610757,0.014270189574080322,0.0005846611687196811,0.005586134310460408,0.0035613087353041028,0.0016387318524610764,0.01427018957408032,0.0005846611687196816,0.005586134310460403,0.003561308735304103,0.001638731852461077,0.014270189574080322,0.0005846611687196824,0.0055861343104604035,0.0035613087353041028,0.0016387318524610768,0.014270189574080315,0.0005846611687196824,0.005586134310460409,0.0035613087353041028,0.001638731852461077,0.014270189574080315,0.0005846611687196825,0.005586134310460404,0.0035613087353041028,0.001638731852461077,0.014270189574080314,0.0005846611687196825,-1.0502322514874223,12.602787017849067
