,H0|Compromised,H0|Down,H0|Mitigated,H0|Normal,H0|Recovered,H1|Compromised,H1|Down,H1|Mitigated,H1|Normal,H1|Recovered,H2|Compromised,H2|Down,H2|Mitigated,H2|Normal,H2|Recovered,H3|Compromised,H3|Down,H3|Mitigated,H3|Normal,H3|Recovered,H4|Compromised,H4|Down,H4|Mitigated,H4|Normal,H4|Recovered,H5|Compromised,H5|Down,H5|Mitigated,H5|Normal,H5|Recovered,H6|Compromised,H6|Down,H6|Mitigated,H6|Normal,H6|Recovered,H7|Compromised,H7|Down,H7|Mitigated,H7|Normal,H7|Recovered,Total Expected Reward,Total Cost
1,0.004662668439568083,0.00023234084692495856,6.185250833538747e-06,0.12009868188321829,1.2357945511392573e-07,0.004662668439568085,0.00023234084692495856,6.18525083353875e-06,0.12009868188321829,1.2357945511392586e-07,0.004662668439568084,0.00023234084692495867,6.1852508335387525e-06,0.12009868188321829,1.235794551139259e-07,0.004662668439568084,0.00023234084692495862,6.185250833538752e-06,0.1200986818832183,1.235794551139259e-07,0.004662668439568083,0.00023234084692495867,6.185250833538753e-06,0.1200986818832183,1.2357945511392594e-07,0.004662668439568083,0.00023234084692495867,6.185250833538752e-06,0.1200986818832183,1.235794551139259e-07,0.0046626684395680825,0.00023234084692495873,6.185250833538751e-06,0.1200986818832183,1.2357945511392589e-07,0.004662668439568083,0.00023234084692495873,6.185250833538758e-06,0.1200986818832183,1.2357945511392615e-07,0.904900839795205,-5.42940503877123
2,0.008698800227049221,0.0008638511982123829,4.5913176052069365e-05,0.1153896026550086,1.832743677692152e-06,0.008698800227049223,0.0008638511982123826,4.5913176052069365e-05,0.1153896026550086,1.8327436776921521e-06,0.00869880022704922,0.0008638511982123822,4.5913176052069365e-05,0.11538960265500861,1.8327436776921536e-06,0.008698800227049223,0.0008638511982123828,4.591317605206938e-05,0.11538960265500861,1.8327436776921536e-06,0.008698800227049223,0.0008638511982123824,4.591317605206937e-05,0.11538960265500861,1.8327436776921538e-06,0.008698800227049224,0.0008638511982123822,4.591317605206936e-05,0.11538960265500862,1.8327436776921517e-06,0.00869880022704922,0.0008638511982123821,4.5913176052069325e-05,0.11538960265500862,1.8327436776921491e-06,0.008698800227049221,0.0008638511982123824,4.5913176052069345e-05,0.11538960265500864,1.8327436776921504e-06,0.7844183235666844,-4.706509941400107
5,0.01768349452085986,0.004339997249156907,0.0005734275079875477,0.10234604626657906,5.7034455416643887e-05,0.01768349452085986,0.004339997249156906,0.0005734275079875476,0.10234604626657906,5.703445541664388e-05,0.01768349452085986,0.004339997249156908,0.0005734275079875479,0.10234604626657906,5.703445541664386e-05,0.017683494520859863,0.004339997249156905,0.0005734275079875476,0.10234604626657906,5.7034455416643805e-05,0.017683494520859856,0.004339997249156905,0.0005734275079875473,0.10234604626657906,5.7034455416643826e-05,0.017683494520859863,0.004339997249156904,0.0005734275079875476,0.10234604626657905,5.703445541664383e-05,0.017683494520859856,0.004339997249156907,0.0005734275079875476,0.10234604626657905,5.7034455416643826e-05,0.017683494520859856,0.004339997249156905,0.0005734275079875476,0.10234604626657905,5.70344554166438e-05,0.33010063403320106,-1.9806038041992062
10,0.02521017305089951,0.012103469796527945,0.0031644359631680585,0.0838963261411989,0.0006255950482056145,0.02521017305089949,0.012103469796527952,0.003164435963168059,0.08389632614119888,0.0006255950482056144,0.025210173050899502,0.012103469796527948,0.003164435963168057,0.0838963261411989,0.0006255950482056145,0.025210173050899502,0.01210346979652794,0.0031644359631680602,0.08389632614119888,0.0006255950482056149,0.02521017305089951,0.012103469796527945,0.003164435963168057,0.08389632614119888,0.0006255950482056146,0.02521017305089951,0.012103469796527948,0.003164435963168058,0.08389632614119888,0.000625595048205614,0.025210173050899502,0.012103469796527941,0.0031644359631680576,0.08389632614119888,0.0006255950482056139,0.02521017305089951,0.012103469796527943,0.003164435963168057,0.08389632614119888,0.0006255950482056139,-0.49878835899984053,2.992730153999043
20,0.026375027840236036,0.02387323792528963,0.012147303470255456,0.0578744322609893,0.004729998503229599,0.026375027840236022,0.023873237925289625,0.012147303470255454,0.05787443226098932,0.004729998503229602,0.026375027840235994,0.02387323792528967,0.012147303470255449,0.0578744322609893,0.004729998503229597,0.026375027840236005,0.023873237925289635,0.012147303470255458,0.057874432260989296,0.004729998503229599,0.026375027840236025,0.023873237925289656,0.012147303470255444,0.057874432260989296,0.004729998503229599,0.026375027840236053,0.023873237925289642,0.012147303470255447,0.05787443226098931,0.0047299985032295926,0.026375027840235994,0.023873237925289652,0.012147303470255444,0.05787443226098931,0.004729998503229594,0.02637502784023605,0.023873237925289635,0.012147303470255444,0.05787443226098932,0.0047299985032296,-1.6578637986571456,9.947182791942874
30,0.02210330284803955,0.02727484314624864,0.019980619768197656,0.04421841471746918,0.011422819520045091,0.02210330284803952,0.027274843146248628,0.019980619768197642,0.04421841471746918,0.011422819520045096,0.02210330284803955,0.027274843146248645,0.019980619768197653,0.04421841471746917,0.01142281952004509,0.022103302848039547,0.027274843146248652,0.019980619768197632,0.04421841471746917,0.011422819520045075,0.022103302848039505,0.027274843146248656,0.019980619768197636,0.044218414717469186,0.011422819520045084,0.02210330284803951,0.027274843146248624,0.019980619768197636,0.04421841471746916,0.011422819520045079,0.022103302848039505,0.027274843146248628,0.01998061976819763,0.044218414717469144,0.011422819520045074,0.02210330284803949,0.027274843146248628,0.01998061976819763,0.04421841471746915,0.011422819520045077,-2.005066556744454,12.030399340466722
