,H0|Compromised,H0|Down,H0|Mitigated,H0|Normal,H0|Recovered,H1|Compromised,H1|Down,H1|Mitigated,H1|Normal,H1|Recovered,H2|Compromised,H2|Down,H2|Mitigated,H2|Normal,H2|Recovered,H3|Compromised,H3|Down,H3|Mitigated,H3|Normal,H3|Recovered,H4|Compromised,H4|Down,H4|Mitigated,H4|Normal,H4|Recovered,H5|Compromised,H5|Down,H5|Mitigated,H5|Normal,H5|Recovered,H6|Compromised,H6|Down,H6|Mitigated,H6|Normal,H6|Recovered,Total Expected Reward,Total Cost
1,0.0065298209140562434,0.00042297077266370423,1.4074791758569024e-05,0.13588992487012844,3.51508535912131e-07,0.006529820914056244,0.00042297077266370423,1.407479175856902e-05,0.13588992487012844,3.515085359121309e-07,0.0065298209140562434,0.0004229707726637044,1.4074791758569028e-05,0.13588992487012844,3.51508535912131e-07,0.006529820914056243,0.00042297077266370434,1.4074791758569024e-05,0.13588992487012844,3.515085359121312e-07,0.0065298209140562434,0.0004229707726637043,1.4074791758569024e-05,0.13588992487012844,3.515085359121312e-07,0.006529820914056241,0.0004229707726637044,1.4074791758569023e-05,0.13588992487012844,3.515085359121311e-07,0.00652982091405624,0.00042297077266370434,1.4074791758569024e-05,0.1358899248701284,3.515085359121311e-07,0.875912773606046,-15.766429924908829
2,0.011945167010707877,0.001541750487048794,0.00010241932156054577,0.12926269586054367,5.110177281882299e-06,0.011945167010707879,0.001541750487048794,0.00010241932156054579,0.12926269586054367,5.1101772818823016e-06,0.011945167010707877,0.0015417504870487942,0.00010241932156054578,0.1292626958605437,5.1101772818823e-06,0.011945167010707877,0.0015417504870487945,0.0001024193215605458,0.1292626958605437,5.1101772818823e-06,0.011945167010707875,0.001541750487048794,0.0001024193215605457,0.12926269586054373,5.110177281882295e-06,0.011945167010707875,0.0015417504870487947,0.00010241932156054572,0.12926269586054373,5.110177281882301e-06,0.011945167010707877,0.001541750487048795,0.0001024193215605457,0.12926269586054376,5.110177281882294e-06,0.7133001678554353,-12.839403021397835
5,0.022925183893498843,0.007303733364244437,0.0012055589260178813,0.11127282620468015,0.00014984046870149457,0.02292518389349884,0.007303733364244437,0.001205558926017881,0.11127282620468017,0.0001498404687014944,0.022925183893498846,0.007303733364244435,0.0012055589260178802,0.11127282620468018,0.0001498404687014945,0.02292518389349884,0.007303733364244438,0.0012055589260178807,0.11127282620468018,0.0001498404687014945,0.022925183893498843,0.007303733364244436,0.0012055589260178815,0.11127282620468018,0.00014984046870149454,0.02292518389349885,0.007303733364244436,0.0012055589260178815,0.1112728262046802,0.00014984046870149457,0.022925183893498857,0.007303733364244435,0.0012055589260178815,0.11127282620468018,0.0001498404687014945,0.10717216068115878,-1.929098892260858
10,0.029846594251373544,0.018515369611004993,0.0060362341855430155,0.08696909121170071,0.001489853597520614,0.029846594251373558,0.018515369611004986,0.006036234185543011,0.08696909121170071,0.001489853597520613,0.02984659425137354,0.018515369611004986,0.0060362341855430155,0.08696909121170072,0.0014898535975206148,0.029846594251373544,0.018515369611004983,0.0060362341855430155,0.08696909121170071,0.0014898535975206148,0.029846594251373544,0.01851536961100499,0.006036234185543017,0.0869690912117007,0.0014898535975206154,0.02984659425137355,0.018515369611004997,0.006036234185543012,0.0869690912117007,0.0014898535975206148,0.02984659425137354,0.01851536961100498,0.006036234185543013,0.08696909121170071,0.0014898535975206133,-0.896218394048059,16.131931092865063
20,0.026856327365555648,0.030592046326525808,0.019216724686481206,0.05689360219973201,0.009298442278848207,0.02685632736555566,0.03059204632652578,0.019216724686481196,0.05689360219973201,0.009298442278848188,0.02685632736555564,0.030592046326525797,0.01921672468648121,0.05689360219973204,0.009298442278848199,0.026856327365555637,0.030592046326525776,0.019216724686481192,0.05689360219973203,0.009298442278848197,0.02685632736555564,0.030592046326525797,0.019216724686481196,0.05689360219973204,0.009298442278848199,0.026856327365555648,0.030592046326525808,0.01921672468648119,0.05689360219973204,0.009298442278848199,0.026856327365555634,0.030592046326525783,0.01921672468648119,0.056893602199732066,0.009298442278848195,-1.9311823190175705,34.76128174231627
30,0.02105572457674922,0.030392402219638952,0.02670158580829862,0.045980067443479364,0.018727362808976623,0.02105572457674922,0.030392402219638955,0.0267015858082986,0.04598006744347941,0.018727362808976637,0.021055724576749216,0.03039240221963898,0.02670158580829862,0.04598006744347938,0.01872736280897664,0.021055724576749226,0.030392402219638976,0.026701585808298605,0.0459800674434794,0.018727362808976643,0.021055724576749223,0.030392402219638976,0.026701585808298605,0.045980067443479426,0.01872736280897664,0.021055724576749237,0.030392402219639014,0.026701585808298588,0.04598006744347941,0.018727362808976643,0.02105572457674921,0.030392402219639,0.0267015858082986,0.0459800674434794,0.01872736280897664,-1.9529977553076172,35.15395959553711
