,H0|Compromised,H0|Down,H0|Mitigated,H0|Normal,H0|Recovered,H10|Compromised,H10|Down,H10|Mitigated,H10|Normal,H10|Recovered,H11|Compromised,H11|Down,H11|Mitigated,H11|Normal,H11|Recovered,H12|Compromised,H12|Down,H12|Mitigated,H12|Normal,H12|Recovered,H13|Compromised,H13|Down,H13|Mitigated,H13|Normal,H13|Recovered,H14|Compromised,H14|Down,H14|Mitigated,H14|Normal,H14|Recovered,H15|Compromised,H15|Down,H15|Mitigated,H15|Normal,H15|Recovered,H16|Compromised,H16|Down,H16|Mitigated,H16|Normal,H16|Recovered,H17|Compromised,H17|Down,H17|Mitigated,H17|Normal,H17|Recovered,H18|Compromised,H18|Down,H18|Mitigated,H18|Normal,H18|Recovered,H19|Compromised,H19|Down,H19|Mitigated,H19|Normal,H19|Recovered,H1|Compromised,H1|Down,H1|Mitigated,H1|Normal,H1|Recovered,H20|Compromised,H20|Down,H20|Mitigated,H20|Normal,H20|Recovered,H21|Compromised,H21|Down,H21|Mitigated,H21|Normal,H21|Recovered,H22|Compromised,H22|Down,H22|Mitigated,H22|Normal,H22|Recovered,H23|Compromised,H23|Down,H23|Mitigated,H23|Normal,H23|Recovered,H24|Compromised,H24|Down,H24|Mitigated,H24|Normal,H24|Recovered,H25|Compromised,H25|Down,H25|Mitigated,H25|Normal,H25|Recovered,H26|Compromised,H26|Down,H26|Mitigated,H26|Normal,H26|Recovered,H27|Compromised,H27|Down,H27|Mitigated,H27|Normal,H27|Recovered,H28|Compromised,H28|Down,H28|Mitigated,H28|Normal,H28|Recovered,H29|Compromised,H29|Down,H29|Mitigated,H29|Normal,H29|Recovered,H2|Compromised,H2|Down,H2|Mitigated,H2|Normal,H2|Recovered,H30|Compromised,H30|Down,H30|Mitigated,H30|Normal,H30|Recovered,H31|Compromised,H31|Down,H31|Mitigated,H31|Normal,H31|Recovered,H32|Compromised,H32|Down,H32|Mitigated,H32|Normal,H32|Recovered,H33|Compromised,H33|Down,H33|Mitigated,H33|Normal,H33|Recovered,H34|Compromised,H34|Down,H34|Mitigated,H34|Normal,H34|Recovered,H35|Compromised,H35|Down,H35|Mitigated,H35|Normal,H35|Recovered,H36|Compromised,H36|Down,H36|Mitigated,H36|Normal,H36|Recovered,H37|Compromised,H37|Down,H37|Mitigated,H37|Normal,H37|Recovered,H38|Compromised,H38|Down,H38|Mitigated,H38|Normal,H38|Recovered,H39|Compromised,H39|Down,H39|Mitigated,H39|Normal,H39|Recovered,H3|Compromised,H3|Down,H3|Mitigated,H3|Normal,H3|Recovered,H40|Compromised,H40|Down,H40|Mitigated,H40|Normal,H40|Recovered,H41|Compromised,H41|Down,H41|Mitigated,H41|Normal,H41|Recovered,H42|Compromised,H42|Down,H42|Mitigated,H42|Normal,H42|Recovered,H43|Compromised,H43|Down,H43|Mitigated,H43|Normal,H43|Recovered,H44|Compromised,H44|Down,H44|Mitigated,H44|Normal,H44|Recovered,H45|Compromised,H45|Down,H45|Mitigated,H45|Normal,H45|Recovered,H46|Compromised,H46|Down,H46|Mitigated,H46|Normal,H46|Recovered,H47|Compromised,H47|Down,H47|Mitigated,H47|Normal,H47|Recovered,H48|Compromised,H48|Down,H48|Mitigated,H48|Normal,H48|Recovered,H49|Compromised,H49|Down,H49|Mitigated,H49|Normal,H49|Recovered,H4|Compromised,H4|Down,H4|Mitigated,H4|Normal,H4|Recovered,H50|Compromised,H50|Down,H50|Mitigated,H50|Normal,H50|Recovered,H51|Compromised,H51|Down,H51|Mitigated,H51|Normal,H51|Recovered,H52|Compromised,H52|Down,H52|Mitigated,H52|Normal,H52|Recovered,H53|Compromised,H53|Down,H53|Mitigated,H53|Normal,H53|Recovered,H5|Compromised,H5|Down,H5|Mitigated,H5|Normal,H5|Recovered,H6|Compromised,H6|Down,H6|Mitigated,H6|Normal,H6|Recovered,H7|Compromised,H7|Down,H7|Mitigated,H7|Normal,H7|Recovered,H8|Compromised,H8|Down,H8|Mitigated,H8|Normal,H8|Recovered,H9|Compromised,H9|Down,H9|Mitigated,H9|Normal,H9|Recovered,Total Expected Reward,Total Cost
1,0.0005284960231995443,1.8435243084907064e-05,3.680858516737391e-07,0.01797121366165839,5.504723939305081e-09,0.0005284960231995443,1.843524308490707e-05,3.680858516737391e-07,0.01797121366165839,5.504723939305084e-09,0.0005284960231995443,1.8435243084907078e-05,3.6808585167373926e-07,0.017971213661658395,5.504723939305086e-09,0.0005284960231995443,1.843524308490707e-05,3.6808585167373905e-07,0.017971213661658395,5.504723939305078e-09,0.0005284960231995443,1.8435243084907078e-05,3.680858516737391e-07,0.017971213661658395,5.504723939305081e-09,0.0005284960231995441,1.843524308490708e-05,3.680858516737394e-07,0.017971213661658398,5.504723939305087e-09,0.0005284960231995443,1.8435243084907078e-05,3.680858516737392e-07,0.017971213661658398,5.504723939305087e-09,0.0005284960231995441,1.8435243084907088e-05,3.6808585167373937e-07,0.017971213661658398,5.50472393930509e-09,0.0005284960231995441,1.843524308490709e-05,3.680858516737396e-07,0.0179712136616584,5.5047239393050965e-09,0.0005284960231995441,1.8435243084907094e-05,3.6808585167373937e-07,0.0179712136616584,5.504723939305093e-09,0.0005284960231995441,1.8435243084907098e-05,3.680858516737397e-07,0.0179712136616584,5.504723939305098e-09,0.0005284960231995443,1.8435243084907094e-05,3.6808585167373953e-07,0.017971213661658405,5.504723939305098e-09,0.0005284960231995443,1.8435243084907098e-05,3.680858516737394e-07,0.017971213661658405,5.504723939305094e-09,0.0005284960231995443,1.8435243084907094e-05,3.6808585167373953e-07,0.017971213661658405,5.504723939305094e-09,0.0005284960231995441,1.84352430849071e-05,3.6808585167373953e-07,0.01797121366165841,5.504723939305095e-09,0.0005284960231995443,1.8435243084907108e-05,3.6808585167373953e-07,0.01797121366165841,5.504723939305096e-09,0.0005284960231995441,1.8435243084907108e-05,3.6808585167373953e-07,0.01797121366165841,5.504723939305095e-09,0.0005284960231995441,1.8435243084907108e-05,3.680858516737394e-07,0.017971213661658412,5.504723939305095e-09,0.0005284960231995441,1.8435243084907098e-05,3.680858516737393e-07,0.017971213661658412,5.504723939305092e-09,0.0005284960231995443,1.843524308490711e-05,3.680858516737395e-07,0.017971213661658412,5.504723939305095e-09,0.0005284960231995442,1.843524308490711e-05,3.6808585167373937e-07,0.017971213661658415,5.504723939305095e-09,0.000528496023199544,1.8435243084907108e-05,3.6808585167373937e-07,0.017971213661658415,5.504723939305095e-09,0.000528496023199544,1.8435243084907108e-05,3.6808585167373953e-07,0.017971213661658415,5.504723939305101e-09,0.000528496023199544,1.8435243084907115e-05,3.6808585167373937e-07,0.01797121366165842,5.504723939305099e-09,0.0005284960231995439,1.843524308490712e-05,3.680858516737397e-07,0.01797121366165842,5.504723939305105e-09,0.0005284960231995441,1.8435243084907118e-05,3.6808585167373937e-07,0.01797121366165842,5.504723939305097e-09,0.0005284960231995443,1.8435243084907108e-05,3.6808585167373937e-07,0.017971213661658422,5.504723939305095e-09,0.0005284960231995442,1.843524308490712e-05,3.6808585167373937e-07,0.017971213661658422,5.5047239393050965e-09,0.0005284960231995441,1.8435243084907115e-05,3.6808585167373926e-07,0.017971213661658422,5.504723939305095e-09,0.0005284960231995441,1.8435243084907115e-05,3.680858516737391e-07,0.017971213661658426,5.5047239393050965e-09,0.0005284960231995443,1.8435243084907115e-05,3.6808585167373916e-07,0.017971213661658426,5.504723939305094e-09,0.0005284960231995441,1.8435243084907115e-05,3.680858516737392e-07,0.01797121366165843,5.504723939305096e-09,0.0005284960231995443,1.8435243084907132e-05,3.680858516737397e-07,0.01797121366165843,5.504723939305102e-09,0.0005284960231995443,1.8435243084907132e-05,3.6808585167373974e-07,0.01797121366165843,5.504723939305102e-09,0.000528496023199544,1.8435243084907132e-05,3.6808585167373963e-07,0.017971213661658433,5.504723939305107e-09,0.0005284960231995443,1.8435243084907132e-05,3.6808585167373953e-07,0.017971213661658433,5.504723939305106e-09,0.0005284960231995443,1.8435243084907142e-05,3.6808585167373985e-07,0.017971213661658433,5.504723939305111e-09,0.0005284960231995441,1.8435243084907142e-05,3.6808585167373974e-07,0.017971213661658436,5.504723939305109e-09,0.0005284960231995442,1.8435243084907145e-05,3.6808585167373985e-07,0.017971213661658436,5.504723939305113e-09,0.0005284960231995442,1.8435243084907142e-05,3.680858516737396e-07,0.017971213661658436,5.504723939305103e-09,0.0005284960231995445,1.843524308490714e-05,3.680858516737395e-07,0.01797121366165844,5.5047239393051015e-09,0.0005284960231995445,1.8435243084907132e-05,3.6808585167373937e-07,0.01797121366165844,5.504723939305097e-09,0.0005284960231995444,1.843524308490715e-05,3.680858516737396e-07,0.01797121366165844,5.504723939305102e-09,0.0005284960231995447,1.8435243084907152e-05,3.680858516737395e-07,0.017971213661658443,5.504723939305097e-09,0.0005284960231995448,1.8435243084907145e-05,3.680858516737395e-07,0.017971213661658443,5.504723939305102e-09,0.0005284960231995448,1.843524308490716e-05,3.680858516737399e-07,0.017971213661658443,5.50472393930511e-09,0.0005284960231995449,1.8435243084907142e-05,3.6808585167373953e-07,0.017971213661658447,5.504723939305104e-09,0.0005284960231995449,1.8435243084907145e-05,3.680858516737397e-07,0.017971213661658447,5.504723939305111e-09,0.0005284960231995448,1.843524308490716e-05,3.680858516737396e-07,0.017971213661658447,5.5047239393051106e-09,0.0005284960231995449,1.8435243084907152e-05,3.680858516737397e-07,0.01797121366165845,5.5047239393051106e-09,0.000528496023199545,1.8435243084907152e-05,3.680858516737398e-07,0.01797121366165845,5.504723939305114e-09,0.0005284960231995449,1.8435243084907152e-05,3.6808585167373995e-07,0.01797121366165845,5.504723939305119e-09,0.000528496023199545,1.8435243084907162e-05,3.6808585167373963e-07,0.017971213661658453,5.504723939305111e-09,0.000528496023199545,1.843524308490716e-05,3.6808585167373963e-07,0.017971213661658453,5.504723939305113e-09,0.9319517212109296,-9.319517212109297
2,0.0010056430537327319,6.991875224602744e-05,2.7872911270981737e-06,0.017440086304388022,8.3117024677502e-08,0.0010056430537327323,6.991875224602742e-05,2.7872911270981733e-06,0.017440086304388022,8.311702467750201e-08,0.0010056430537327319,6.991875224602742e-05,2.787291127098174e-06,0.017440086304388022,8.311702467750201e-08,0.0010056430537327319,6.991875224602741e-05,2.7872911270981737e-06,0.01744008630438802,8.311702467750203e-08,0.0010056430537327319,6.991875224602742e-05,2.7872911270981725e-06,0.01744008630438802,8.3117024677502e-08,0.001005643053732732,6.991875224602741e-05,2.7872911270981704e-06,0.01744008630438802,8.31170246775019e-08,0.001005643053732732,6.99187522460274e-05,2.787291127098173e-06,0.01744008630438802,8.311702467750197e-08,0.001005643053732732,6.991875224602738e-05,2.787291127098171e-06,0.017440086304388015,8.311702467750188e-08,0.0010056430537327319,6.991875224602741e-05,2.7872911270981716e-06,0.017440086304388015,8.311702467750193e-08,0.0010056430537327317,6.99187522460274e-05,2.7872911270981716e-06,0.017440086304388015,8.311702467750192e-08,0.0010056430537327323,6.991875224602738e-05,2.787291127098172e-06,0.017440086304388015,8.311702467750196e-08,0.001005643053732732,6.991875224602738e-05,2.7872911270981695e-06,0.017440086304388012,8.311702467750183e-08,0.0010056430537327323,6.991875224602738e-05,2.7872911270981695e-06,0.017440086304388012,8.31170246775018e-08,0.0010056430537327323,6.991875224602738e-05,2.78729112709817e-06,0.017440086304388012,8.311702467750188e-08,0.0010056430537327323,6.991875224602733e-05,2.7872911270981695e-06,0.017440086304388012,8.311702467750184e-08,0.001005643053732732,6.991875224602735e-05,2.78729112709817e-06,0.017440086304388012,8.311702467750181e-08,0.0010056430537327323,6.991875224602735e-05,2.787291127098167e-06,0.01744008630438801,8.311702467750171e-08,0.0010056430537327323,6.991875224602735e-05,2.787291127098168e-06,0.01744008630438801,8.311702467750179e-08,0.0010056430537327323,6.991875224602734e-05,2.787291127098168e-06,0.01744008630438801,8.311702467750177e-08,0.0010056430537327327,6.991875224602733e-05,2.7872911270981665e-06,0.01744008630438801,8.31170246775017e-08,0.0010056430537327325,6.991875224602733e-05,2.787291127098166e-06,0.017440086304388005,8.311702467750168e-08,0.0010056430537327325,6.991875224602731e-05,2.787291127098166e-06,0.017440086304388005,8.31170246775017e-08,0.0010056430537327327,6.991875224602731e-05,2.787291127098167e-06,0.017440086304388005,8.311702467750172e-08,0.0010056430537327325,6.991875224602729e-05,2.787291127098166e-06,0.017440086304388005,8.311702467750173e-08,0.0010056430537327327,6.991875224602731e-05,2.787291127098167e-06,0.017440086304388,8.311702467750171e-08,0.0010056430537327325,6.991875224602734e-05,2.787291127098168e-06,0.017440086304388,8.311702467750173e-08,0.0010056430537327327,6.991875224602735e-05,2.787291127098167e-06,0.017440086304388,8.311702467750179e-08,0.0010056430537327332,6.991875224602735e-05,2.787291127098167e-06,0.017440086304388,8.311702467750177e-08,0.0010056430537327334,6.991875224602734e-05,2.7872911270981657e-06,0.017440086304388,8.311702467750167e-08,0.001005643053732733,6.991875224602737e-05,2.7872911270981653e-06,0.017440086304387998,8.31170246775018e-08,0.0010056430537327334,6.991875224602734e-05,2.787291127098166e-06,0.017440086304387998,8.311702467750171e-08,0.0010056430537327327,6.991875224602733e-05,2.7872911270981665e-06,0.017440086304387998,8.311702467750173e-08,0.0010056430537327332,6.991875224602734e-05,2.7872911270981665e-06,0.017440086304387998,8.311702467750175e-08,0.0010056430537327334,6.991875224602731e-05,2.7872911270981674e-06,0.017440086304387994,8.311702467750177e-08,0.0010056430537327334,6.991875224602729e-05,2.7872911270981644e-06,0.017440086304387994,8.311702467750166e-08,0.0010056430537327334,6.991875224602729e-05,2.7872911270981627e-06,0.017440086304387994,8.311702467750164e-08,0.0010056430537327336,6.99187522460273e-05,2.787291127098163e-06,0.017440086304387994,8.311702467750159e-08,0.0010056430537327334,6.991875224602731e-05,2.7872911270981657e-06,0.01744008630438799,8.311702467750168e-08,0.0010056430537327334,6.99187522460273e-05,2.787291127098163e-06,0.01744008630438799,8.311702467750155e-08,0.0010056430537327338,6.991875224602727e-05,2.7872911270981636e-06,0.01744008630438799,8.311702467750163e-08,0.0010056430537327336,6.991875224602734e-05,2.7872911270981674e-06,0.01744008630438799,8.311702467750184e-08,0.0010056430537327338,6.991875224602735e-05,2.7872911270981665e-06,0.01744008630438799,8.311702467750172e-08,0.0010056430537327336,6.991875224602734e-05,2.7872911270981653e-06,0.017440086304387988,8.311702467750173e-08,0.001005643053732734,6.991875224602731e-05,2.787291127098163e-06,0.017440086304387988,8.311702467750162e-08,0.0010056430537327338,6.99187522460273e-05,2.787291127098163e-06,0.017440086304387988,8.311702467750168e-08,0.0010056430537327338,6.991875224602727e-05,2.787291127098161e-06,0.017440086304387988,8.311702467750159e-08,0.0010056430537327338,6.99187522460273e-05,2.787291127098165e-06,0.017440086304387984,8.311702467750176e-08,0.0010056430537327334,6.99187522460273e-05,2.787291127098165e-06,0.017440086304387984,8.311702467750176e-08,0.0010056430537327336,6.991875224602727e-05,2.787291127098163e-06,0.017440086304387984,8.311702467750168e-08,0.0010056430537327336,6.991875224602727e-05,2.787291127098162e-06,0.017440086304387984,8.311702467750162e-08,0.0010056430537327338,6.991875224602726e-05,2.7872911270981636e-06,0.017440086304387984,8.311702467750172e-08,0.0010056430537327336,6.991875224602725e-05,2.7872911270981627e-06,0.01744008630438798,8.311702467750168e-08,0.0010056430537327336,6.991875224602723e-05,2.787291127098163e-06,0.017440086304387984,8.311702467750175e-08,0.0010056430537327338,6.991875224602723e-05,2.7872911270981623e-06,0.01744008630438798,8.31170246775017e-08,0.8497038093225298,-8.497038093225298
5,0.0021669477020083545,0.00037266477783097024,3.694458317530218e-05,0.015939232173007696,2.7292824962721567e-06,0.0021669477020083536,0.0003726647778309703,3.694458317530218e-05,0.015939232173007696,2.729282496272159e-06,0.0021669477020083536,0.0003726647778309704,3.694458317530217e-05,0.015939232173007693,2.7292824962721533e-06,0.002166947702008349,0.0003726647778309702,3.694458317530211e-05,0.015939232173007693,2.7292824962721524e-06,0.0021669477020083493,0.0003726647778309703,3.6944583175302134e-05,0.015939232173007693,2.7292824962721473e-06,0.0021669477020083484,0.0003726647778309703,3.6944583175302093e-05,0.01593923217300769,2.7292824962721507e-06,0.0021669477020083475,0.00037266477783097024,3.6944583175302066e-05,0.01593923217300769,2.7292824962721486e-06,0.002166947702008348,0.00037266477783097024,3.694458317530212e-05,0.015939232173007686,2.7292824962721516e-06,0.002166947702008349,0.0003726647778309699,3.6944583175302046e-05,0.01593923217300769,2.7292824962721478e-06,0.0021669477020083493,0.00037266477783096975,3.694458317530204e-05,0.015939232173007686,2.729282496272146e-06,0.002166947702008349,0.00037266477783096975,3.694458317530205e-05,0.015939232173007686,2.7292824962721495e-06,0.002166947702008348,0.00037266477783096965,3.694458317530208e-05,0.015939232173007682,2.72928249627215e-06,0.002166947702008349,0.00037266477783096856,3.694458317530205e-05,0.015939232173007686,2.729282496272149e-06,0.0021669477020083475,0.0003726647778309695,3.694458317530206e-05,0.01593923217300768,2.7292824962721503e-06,0.0021669477020083475,0.00037266477783096905,3.694458317530205e-05,0.01593923217300768,2.7292824962721507e-06,0.0021669477020083493,0.00037266477783096797,3.694458317530205e-05,0.01593923217300768,2.7292824962721486e-06,0.002166947702008349,0.00037266477783096813,3.694458317530205e-05,0.015939232173007675,2.7292824962721473e-06,0.0021669477020083484,0.00037266477783096867,3.694458317530203e-05,0.015939232173007675,2.7292824962721435e-06,0.0021669477020083475,0.0003726647778309683,3.694458317530204e-05,0.015939232173007672,2.7292824962721456e-06,0.002166947702008347,0.00037266477783096916,3.6944583175302066e-05,0.015939232173007672,2.7292824962721495e-06,0.0021669477020083466,0.0003726647778309682,3.6944583175302026e-05,0.015939232173007675,2.7292824962721423e-06,0.0021669477020083484,0.00037266477783096797,3.694458317530202e-05,0.01593923217300767,2.7292824962721423e-06,0.002166947702008347,0.000372664777830968,3.694458317530202e-05,0.01593923217300767,2.7292824962721435e-06,0.0021669477020083484,0.00037266477783096797,3.6944583175302005e-05,0.01593923217300767,2.7292824962721427e-06,0.0021669477020083484,0.00037266477783096797,3.694458317530198e-05,0.015939232173007665,2.7292824962721393e-06,0.0021669477020083484,0.0003726647778309678,3.694458317530199e-05,0.015939232173007665,2.7292824962721414e-06,0.0021669477020083497,0.0003726647778309689,3.694458317530204e-05,0.01593923217300767,2.729282496272148e-06,0.0021669477020083514,0.00037266477783096856,3.694458317530209e-05,0.01593923217300766,2.729282496272153e-06,0.0021669477020083514,0.0003726647778309684,3.6944583175302026e-05,0.01593923217300766,2.7292824962721473e-06,0.0021669477020083484,0.00037266477783096867,3.694458317530213e-05,0.015939232173007658,2.7292824962721478e-06,0.00216694770200835,0.0003726647778309689,3.694458317530201e-05,0.01593923217300766,2.7292824962721452e-06,0.0021669477020083497,0.00037266477783096883,3.6944583175302026e-05,0.015939232173007658,2.7292824962721478e-06,0.0021669477020083493,0.0003726647778309687,3.694458317530202e-05,0.015939232173007654,2.729282496272146e-06,0.002166947702008348,0.00037266477783096883,3.694458317530204e-05,0.015939232173007654,2.7292824962721486e-06,0.002166947702008349,0.0003726647778309688,3.6944583175302e-05,0.015939232173007654,2.7292824962721414e-06,0.0021669477020083493,0.00037266477783096883,3.694458317530201e-05,0.01593923217300765,2.7292824962721444e-06,0.0021669477020083493,0.00037266477783096834,3.694458317530201e-05,0.01593923217300765,2.7292824962721465e-06,0.0021669477020083497,0.00037266477783096856,3.6944583175302e-05,0.01593923217300765,2.7292824962721414e-06,0.00216694770200835,0.00037266477783096813,3.6944583175301985e-05,0.01593923217300765,2.729282496272138e-06,0.0021669477020083484,0.0003726647778309682,3.694458317530202e-05,0.015939232173007647,2.7292824962721435e-06,0.00216694770200835,0.0003726647778309689,3.694458317530204e-05,0.01593923217300765,2.7292824962721435e-06,0.002166947702008349,0.00037266477783096883,3.694458317530213e-05,0.015939232173007644,2.7292824962721486e-06,0.0021669477020083497,0.0003726647778309687,3.694458317530208e-05,0.015939232173007644,2.7292824962721507e-06,0.0021669477020083436,0.0003726647778309688,3.694458317530213e-05,0.01593923217300764,2.7292824962721516e-06,0.002166947702008347,0.0003726647778309688,3.694458317530208e-05,0.015939232173007644,2.72928249627215e-06,0.002166947702008345,0.00037266477783096867,3.694458317530204e-05,0.01593923217300764,2.7292824962721444e-06,0.0021669477020083475,0.00037266477783096867,3.6944583175302066e-05,0.015939232173007637,2.7292824962721478e-06,0.0021669477020083466,0.00037266477783096867,3.694458317530204e-05,0.01593923217300764,2.7292824962721435e-06,0.0021669477020083466,0.00037266477783096867,3.6944583175302026e-05,0.01593923217300764,2.7292824962721384e-06,0.002166947702008346,0.00037266477783096867,3.694458317530201e-05,0.015939232173007634,2.7292824962721355e-06,0.002166947702008346,0.0003726647778309686,3.694458317530204e-05,0.015939232173007634,2.7292824962721414e-06,0.0021669477020083466,0.0003726647778309686,3.694458317530205e-05,0.015939232173007634,2.7292824962721435e-06,0.0021669477020083466,0.00037266477783096845,3.6944583175302e-05,0.015939232173007634,2.729282496272134e-06,0.002166947702008346,0.00037266477783096856,3.6944583175302e-05,0.01593923217300763,2.729282496272135e-06,0.54246438140524,-5.4246438140524
10,0.0033923581729461993,0.0011448988252450868,0.00022488399881116504,0.013723656859939766,3.2720661576312876e-05,0.0033923581729461993,0.0011448988252450861,0.00022488399881116504,0.013723656859939766,3.2720661576312876e-05,0.003392358172946199,0.0011448988252450872,0.00022488399881116506,0.013723656859939766,3.2720661576312896e-05,0.003392358172946198,0.0011448988252450863,0.000224883998811165,0.013723656859939768,3.2720661576312896e-05,0.003392358172946198,0.0011448988252450863,0.00022488399881116504,0.013723656859939768,3.2720661576312876e-05,0.003392358172946197,0.0011448988252450855,0.000224883998811165,0.01372365685993977,3.2720661576312876e-05,0.003392358172946196,0.0011448988252450855,0.000224883998811165,0.01372365685993977,3.272066157631285e-05,0.0033923581729461963,0.0011448988252450855,0.00022488399881116504,0.01372365685993977,3.272066157631286e-05,0.0033923581729461984,0.0011448988252450855,0.00022488399881116493,0.013723656859939773,3.2720661576312835e-05,0.003392358172946198,0.0011448988252450853,0.00022488399881116487,0.01372365685993977,3.272066157631284e-05,0.0033923581729461967,0.0011448988252450853,0.000224883998811165,0.013723656859939773,3.2720661576312855e-05,0.003392358172946184,0.0011448988252450853,0.00022488399881116506,0.01372365685993977,3.272066157631284e-05,0.003392358172946196,0.001144898825245085,0.000224883998811165,0.013723656859939773,3.272066157631278e-05,0.0033923581729461806,0.0011448988252450848,0.00022488399881116512,0.01372365685993977,3.2720661576312855e-05,0.0033923581729461806,0.001144898825245085,0.0002248839988111651,0.01372365685993977,3.272066157631286e-05,0.003392358172946194,0.0011448988252450829,0.0002248839988111651,0.013723656859939773,3.272066157631281e-05,0.0033923581729461854,0.0011448988252450837,0.0002248839988111651,0.013723656859939773,3.272066157631273e-05,0.0033923581729461815,0.0011448988252450846,0.00022488399881116512,0.013723656859939773,3.272066157631273e-05,0.0033923581729461793,0.001144898825245084,0.00022488399881116512,0.013723656859939773,3.272066157631275e-05,0.0033923581729461798,0.0011448988252450848,0.00022488399881116517,0.013723656859939773,3.272066157631283e-05,0.003392358172946179,0.0011448988252450833,0.00022488399881116517,0.013723656859939778,3.2720661576312727e-05,0.003392358172946182,0.001144898825245083,0.00022488399881116512,0.013723656859939773,3.2720661576312727e-05,0.00339235817294618,0.0011448988252450833,0.0002248839988111651,0.013723656859939773,3.272066157631273e-05,0.0033923581729461815,0.0011448988252450835,0.00022488399881116506,0.013723656859939773,3.2720661576312727e-05,0.0033923581729461815,0.0011448988252450835,0.00022488399881116506,0.013723656859939773,3.272066157631272e-05,0.003392358172946183,0.001144898825245083,0.00022488399881116506,0.013723656859939773,3.272066157631272e-05,0.0033923581729461963,0.0011448988252450848,0.00022488399881116504,0.01372365685993978,3.272066157631282e-05,0.003392358172946196,0.001144898825245084,0.00022488399881116517,0.013723656859939775,3.272066157631284e-05,0.0033923581729461963,0.0011448988252450835,0.000224883998811165,0.013723656859939775,3.272066157631275e-05,0.0033923581729461932,0.0011448988252450835,0.00022488399881116553,0.013723656859939775,3.272066157631281e-05,0.0033923581729461954,0.0011448988252450844,0.0002248839988111651,0.01372365685993978,3.272066157631276e-05,0.003392358172946192,0.0011448988252450837,0.00022488399881116506,0.013723656859939775,3.272066157631281e-05,0.0033923581729461937,0.0011448988252450842,0.0002248839988111651,0.013723656859939775,3.272066157631273e-05,0.00339235817294619,0.0011448988252450842,0.00022488399881116515,0.013723656859939775,3.272066157631278e-05,0.003392358172946184,0.0011448988252450844,0.00022488399881116504,0.013723656859939775,3.272066157631273e-05,0.003392358172946185,0.0011448988252450844,0.00022488399881116506,0.013723656859939778,3.272066157631277e-05,0.003392358172946185,0.0011448988252450842,0.00022488399881116506,0.013723656859939778,3.2720661576312774e-05,0.003392358172946189,0.0011448988252450842,0.00022488399881116506,0.013723656859939778,3.272066157631274e-05,0.003392358172946192,0.0011448988252450837,0.00022488399881116493,0.013723656859939783,3.272066157631271e-05,0.003392358172946185,0.0011448988252450837,0.00022488399881116512,0.013723656859939778,3.2720661576312754e-05,0.003392358172946192,0.0011448988252450842,0.00022488399881116498,0.013723656859939782,3.27206615763128e-05,0.003392358172946192,0.0011448988252450844,0.0002248839988111654,0.013723656859939776,3.27206615763128e-05,0.0033923581729461924,0.0011448988252450842,0.00022488399881116504,0.013723656859939776,3.27206615763128e-05,0.00339235817294618,0.0011448988252450842,0.00022488399881116506,0.013723656859939776,3.27206615763128e-05,0.003392358172946186,0.001144898825245084,0.0002248839988111651,0.013723656859939782,3.272066157631279e-05,0.0033923581729461806,0.0011448988252450837,0.00022488399881116498,0.013723656859939778,3.272066157631275e-05,0.0033923581729461863,0.0011448988252450842,0.0002248839988111651,0.013723656859939778,3.272066157631278e-05,0.0033923581729461863,0.001144898825245084,0.00022488399881116504,0.013723656859939783,3.272066157631276e-05,0.0033923581729461863,0.0011448988252450842,0.00022488399881116504,0.013723656859939783,3.2720661576312727e-05,0.0033923581729461867,0.0011448988252450842,0.00022488399881116496,0.01372365685993978,3.272066157631269e-05,0.003392358172946187,0.001144898825245084,0.000224883998811165,0.01372365685993978,3.272066157631273e-05,0.003392358172946187,0.0011448988252450837,0.00022488399881116506,0.01372365685993978,3.272066157631273e-05,0.003392358172946188,0.0011448988252450835,0.00022488399881116482,0.013723656859939785,3.2720661576312666e-05,0.003392358172946184,0.0011448988252450837,0.00022488399881116487,0.01372365685993978,3.2720661576312686e-05,-0.06035523653469194,0.6035523653469195
